"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","650606.99","795056.7","816640.19","753478.55","642391.34","648667.55","642185.17","658118.72","598405.07","715686.85","588101.31","627088.6","696505.2","819704.35","614813.43","774507.21","651684.19","652807.43","692142.46","672998.87","641582.22","796450.4","631371.98","607054.08","780851.96"
"Max (BQML) Value","8831.28","9623.51","9928.35","8619.54","7673.98","7705.01","8252.63","8283.66","8374.93","10658.51","7644.77","7827.31","8314.7","9988.59","7157.39","9868.11","8710.81","7978.82","8526.44","10780.81","8435.17","9563.27","7673.98","7736.04","9806.05"
"Mean (BQML) Value","6302.09","7720.18","7920.42","7317.76","6215.3","6288.23","6210.09","6365.49","5798.74","6920.71","5710.63","6075.75","6738.63","7944.31","5942.38","7548.48","6350.21","6325.96","6707.32","6562.1","6248.59","7764.28","6150.57","5915.08","7385.92"
"Standard Deviation (BQML) Value","788.3","728","539.11","505.56","596.35","404.99","597.22","602","563.9","626","413.76","522.45","676.21","863.05","463.01","638.68","470.21","453.48","651.65","659.55","718.86","671.34","498.05","465.86","911.56"
"Total (BQML) Value","43703214.94","53406333.35","54856160.93","50613404.76","43151345.04","43572936.69","43137495.94","44207800.09","40196655.66","48074823.02","39504521.66","42123414.39","46786334.4","55061989.33","41298854.25","52025962.58","43775573.57","43851024.68","46493276.51","45207344.05","43096993.73","53499952.06","42411141.31","40777635.84","52452158.22"
"Volume (ml) Value","103.24","102.98","103.11","102.97","103.36","103.16","103.41","103.39","103.2","103.41","102.98","103.21","103.36","103.18","103.46","102.6","102.62","103.2","103.19","102.56","102.68","102.58","102.65","102.63","105.72"
