"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","343128.25","311460.93","375143.58","324675.72","302919.56","325599.07","339710.94","392087.29","314318.66","404619.13","364343.04","349112.71","354115.72","294102.93","314371.6","409958.03","336180.33","331966","360927.98","362150.37","331180.79","340684.64","338318.19","398247.21","335563.71"
"Max (BQML) Value","20129.85","16012.55","22793.54","33696.89","20627.07","19356.11","26385.71","23567.27","18488.51","28894.64","21740.74","19914.22","19789.91","17095.79","15393.56","33387.39","20997.45","26479.57","17374.84","24064.49","18397.19","16507.24","22359.73","27966.16","22080.68"
"Mean (BQML) Value","6627.6","6013.31","7242.41","6276.75","5917.73","6346.84","6627.23","7646.17","6136.85","7820.35","7119.09","6816.9","6844.16","5684.39","6077.75","8007.68","6495.57","6470.05","6963.96","7068.93","6457.67","6650.78","6605.2","7771.98","6550.51"
"Standard Deviation (BQML) Value","2507.71","2056.98","2619.83","2916.51","2236.33","2028.74","2467.77","2651.56","2415.78","3293.31","2637.18","2141.93","2265.17","2108.88","1603.26","3017.44","2387.35","2417.35","2459.62","2983.79","2190.34","2117","2186.87","2860.72","2488.55"
"Total (BQML) Value","23048949.3","20921760.78","25199514.6","21809438.14","20348011.29","21871462.29","22819398.36","26337674.25","21113723.46","27179475.45","24474010.42","23450943.61","23787010.42","19755772.13","21117279.2","27538105.25","22582236.53","22299147.64","24244610.47","24326721.79","22246402.8","22884804.54","22725843.39","26751454.21","22540816.38"
"Volume (ml) Value","51.77","51.8","51.8","51.73","51.19","51.3","51.26","51.28","51.22","51.74","51.18","51.21","51.74","51.74","51.72","51.2","51.76","51.31","51.83","51.23","51.28","51.22","51.22","51.24","51.23"
