"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","168437.13","170392.07","155583.28","173122.8","163378.04","176844.13","181387.46","173313.89","204964.78","163523.94","177847.94","161384.24","168994.68","198302.13","206114.21","178308.54","146444.95","167779.63","179391.03","200596.28","218074.05","179289.69","161648.78","167274.91","213572.89"
"Max (BQML) Value","11158.3","12469.67","10001.08","15658.36","10782.41","15001.62","11251.21","13502.3","12877.23","12095.9","15377.5","11939.63","11158.3","14220.28","14095.69","11094.95","10345.29","10562.79","14095.69","14625.73","13971.1","14095.69","13063.06","12157.14","15939.22"
"Mean (BQML) Value","6163.62","6240.73","5699.71","6337.29","5969.64","6469.98","6635.48","6481.03","7493.41","5974.45","6810.12","6190.7","6323.32","7413.65","7710.17","6659.06","5609.05","6421.51","6881.6","7694.7","7976.5","6877.71","6190.81","6416.23","8177.53"
"Standard Deviation (BQML) Value","1449.3","1444.54","1283.48","1371.3","1492.63","1668.8","1261.23","1807.54","1771.48","1289.87","2178.55","1467.14","1558.36","2146.59","1480.66","1670.79","1181.06","1306.68","1710.82","1991.84","1637.08","1522.78","1775.67","1441.92","1994.79"
"Total (BQML) Value","11314425.21","11445743.94","10450993.56","11629175.34","10974590.92","11879148.32","12184337.35","11642011.32","13768096.57","10984391.44","11946577.41","10840661.49","11351877.56","13320546.09","13845307.21","11977517.27","9837144.7","11270259.07","12050231.44","13474651.19","14648685.41","12043423.78","10858431.5","11236355.17","14346328.58"
"Volume (ml) Value","27.33","27.3","27.3","27.32","27.37","27.33","27.34","26.74","27.35","27.37","26.12","26.07","26.73","26.75","26.73","26.78","26.11","26.13","26.07","26.07","27.34","26.07","26.11","26.07","26.12"
