"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","2741.39","3646.22","3617.8","3878.99","3085.47","3255.71","3963.29","2876.1","3401.41","3206.09","3789.67","3485.15","3643.01","3045.51","3461.03","2933","3608.74","3317.81","3738.75","3767.01","3523.01","3598.08","3279.04","3189.98","3321.49"
"Max (BQML) Value","6184.77","7898.63","7624.19","8389.34","6675.49","6889.94","8634.69","6521","7347.94","7102.59","7838.65","7347.94","7531.5","6246.57","7287.97","6337.44","7624.19","6859.05","8327.55","7929.52","7440.63","7471.53","7073.51","6675.49","6735.46"
"Mean (BQML) Value","5587","7413.06","7232.69","7944.01","6257.86","6547.77","8136.48","5805.18","6792","6471.24","7452.1","6813.38","7231.43","5981.75","6837.87","5808.33","7163.41","6539.53","7456.74","7313.33","6800.31","7091.95","6351.3","6250.9","6338.49"
"Standard Deviation (BQML) Value","223.36","274.94","201.81","219.75","150.96","104.99","145.86","238.69","208.61","323.39","168.57","293.25","135.07","98.74","166.64","240.67","185.99","211.75","337.17","342.69","184.54","139.9","261.55","130.96","204.79"
"Total (BQML) Value","184147.6","244927.55","243018.43","260563.65","207260.37","218695.45","266225.72","193196.51","228482.77","215362.76","254563.74","234107.85","244711.56","204575.77","232487.42","197018.39","242409.8","222867.14","251142.99","253041.29","236650.89","241693.58","220263.18","214280.8","223114.68"
"Volume (ml) Value","0.49","0.49","0.5","0.49","0.49","0.5","0.49","0.5","0.5","0.5","0.51","0.51","0.5","0.51","0.51","0.5","0.5","0.51","0.5","0.52","0.52","0.51","0.52","0.51","0.52"
