"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","24472448.87","25654764.88","28308290.41","25972672.62","26024516.26","28443228.79","27684565.1","26470357.62","24278629.4","26087597.6","28390598.12","25464117.36","27495249.8","27541935.93","28574709.03","30719963.6","25442815.45","28949730.82","27509588.82","28310228.33","27583054.94","26077253.96","26324206.53","27488907.25","30037557.43"
"Max (BQML) Value","702264.75","718600.19","744673.94","692997.56","700537","849283.31","813785.25","706819.81","711689.06","714045.12","815670.12","685458.19","741532.56","740276","868446","841272.69","746872.94","763679.56","777815.94","756454.31","863419.69","737605.75","770119.5","755983.06","779700.81"
"Mean (BQML) Value","482000.56","505182.09","556935.31","511256.38","512363.31","559728","544890.31","520911.06","477779.97","513205.62","557174.5","499903.06","539784.56","540652.12","560809.5","603498","499155.44","568493.31","539772.69","555460.69","541249.19","511463.41","515853.47","539653.06","589153.62"
"Standard Deviation (BQML) Value","57980.64","64468.82","77430.35","55398.12","54248.04","86994.3","67200.22","72583.38","85146.92","61171.57","80593.61","65177.43","70933.56","60136.12","82822.79","87421.5","80270.55","63945.09","70684.42","60764.52","83582.84","63340.2","69874.9","62721.86","78105.68"
"Total (BQML) Value","1485024453.04","1556769140.1","1717789000.46","1576060252.34","1579206201.79","1725977260.8","1679940424.66","1606260515.88","1473263200.44","1583034070.88","1722783554","1545200366.19","1668452491.3","1671285474.88","1733955676.86","1864132902.24","1543907734.41","1756712554.82","1669322604.27","1717906595.87","1673780637.39","1582406403.33","1597391851.33","1668067616.19","1822723485.03"
"Volume (ml) Value","50.77","50.78","50.83","50.8","50.79","50.82","50.81","50.82","50.82","50.83","50.95","50.94","50.94","50.94","50.95","50.9","50.97","50.92","50.97","50.97","50.96","50.99","51.03","50.94","50.98"
