"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","649341.37","796701.78","818111.23","754473.47","643945.3","648261.83","641094.41","657780.77","596031.45","715122.68","589231.01","627443.33","697941.29","823178.36","616156.42","776298.01","652807.93","653966.95","690746.24","674095.59","641611.69","798845.44","631215.28","608764.63","781014.62"
"Max (BQML) Value","8909.13","9766.96","9950.53","8725.57","7715.07","7685.99","8267.57","8389.34","8358.44","9736.07","7776.86","7991.32","8451.13","10074.11","7287.97","9981.42","8849.15","8113.09","8603.8","10441.24","8634.69","9705.17","7776.86","7807.76","9890.55"
"Mean (BQML) Value","6289.25","7736.24","7933.4","7326.49","6229.37","6282.71","6201.43","6361.74","5776.18","6915.09","5722.89","6078.52","6751.17","7977.65","5955.88","7566.33","6361.05","6338.25","6692.13","6572.68","6248.73","7787.45","6149.15","5931.41","7389.21"
"Standard Deviation (BQML) Value","820.09","738.23","546.76","530.32","585.64","431.85","595.83","633.32","566.08","580.62","440.79","552.29","639.99","884.9","482.79","650.03","492.31","466.29","605.14","623.33","761.39","674.97","534.37","497.27","934.87"
"Total (BQML) Value","43618199.33","53516837.72","54954975.08","50680236.53","43255729.05","43545683.59","43064226.27","44185098.66","40037212.47","48036926.49","39580406.96","42147242.11","46882800.67","55295348.91","41389066.77","52146255.76","43851058.65","43928913.26","46399487.79","45281013.9","43098973.53","53660834.04","42400615.74","40892538.22","52463084.75"
"Volume (ml) Value","103.25","102.98","103.12","102.98","103.37","103.18","103.38","103.4","103.19","103.41","102.96","103.22","103.38","103.19","103.45","102.6","102.63","103.18","103.22","102.56","102.68","102.58","102.65","102.63","105.7"
