"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","2757.27","4087.77","3095.72","3801.61","2985.04","2806.51","3779.5","2678.64","2878.1","3585.1","3944.06","3825.87","3942.49","3053.9","3019.14","2964.3","3733.08","4066.46","3601.82","3554.11","3323.22","3806.92","3283.67","2820.53","3846.07"
"Max (BQML) Value","7758.83","10095.43","7509.8","9379.47","7323.03","6823.03","8661.57","8505.92","8101.25","8972.85","9721.89","9317.21","8879.47","6511.74","7852.22","8070.12","9628.5","9221.88","8972.85","8630.44","7727.7","8474.79","8163.51","6698.51","8910.6"
"Mean (BQML) Value","5538.69","8270.71","6248.46","7682.48","6105.78","5604.1","7797.3","5374.32","5733.41","7279.98","7728.54","7558.67","7844.45","5928.89","6115.94","5947.46","7401.49","7876.48","7091","6988.88","6385.32","7486.02","6302.11","5463.18","7389.93"
"Standard Deviation (BQML) Value","751.38","997.22","610.19","459.88","372.93","395.1","322.44","934.23","806.12","891.91","594.64","944.07","414.13","219.45","412.37","765.77","610.95","771.42","689.24","1154.16","609.33","443.53","682.49","306.36","572.75"
"Total (BQML) Value","185213.84","274587.6","207948.78","255365.75","200513.84","188521.98","253880.13","179932.08","193330.51","240821.64","264934.42","256994.88","264828.66","205139.73","202804.46","199120.83","250762.46","273156.38","241945","238740.14","223230.64","255722.33","220573.73","189463.16","258352.01"
"Volume (ml) Value","0.5","0.49","0.5","0.49","0.49","0.5","0.48","0.5","0.5","0.49","0.51","0.51","0.5","0.52","0.49","0.5","0.5","0.52","0.51","0.51","0.52","0.51","0.52","0.52","0.52"
