"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","179946.35","177897.66","153133.53","187589.28","164656.43","173818.82","173508.88","172133.39","198647.76","158496.58","192046.58","175500.42","160571.53","198034.68","206897.85","169685","149834.58","165061.89","186228.26","207763.69","210540.34","173585.66","154290.28","184521.83","208672.45"
"Max (BQML) Value","8167.14","7779.48","6223.91","7659.57","6611.57","7419.74","7061.65","7299.83","8017.66","6851.39","9095.22","8347.83","6792.26","8406.96","8855.4","7091.22","6402.96","6761.05","7958.52","8855.4","8766.7","7329.4","6701.92","7748.27","8735.49"
"Mean (BQML) Value","6576.03","6514.2","5603.61","6869.84","6024.74","6358.75","6343.68","6433.59","7264.21","5797.97","7356.99","6730.97","6008.82","7404.64","7742.24","6340.81","5737.3","6319.94","7138.66","7970.18","7692.23","6655.86","5913.04","7077.13","7996.64"
"Standard Deviation (BQML) Value","531.89","517.58","219.94","309.29","270.79","370.19","282.5","598.08","402.16","346.05","780.16","524.63","254.94","427.37","389.72","478.3","216.77","186.93","352.89","291.6","578.63","252.66","311.03","300.3","344.85"
"Total (BQML) Value","12087533.66","11949917.47","10286436.35","12600932.35","11060464.49","11675929.58","11655109.54","11562713.79","13343763.59","10646688.68","12900342.09","11788887.05","10786069.31","13302580.59","13897946.74","11398248.06","10064836.3","11087700.06","12509508.5","13956107.71","14142623.66","11660266.92","10364139.2","12394882.71","14017151.42"
"Volume (ml) Value","27.36","27.31","27.33","27.31","27.33","27.34","27.35","26.76","27.35","27.34","26.1","26.07","26.72","26.74","26.72","26.76","26.12","26.12","26.09","26.07","27.37","26.08","26.09","26.07","26.1"
