"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","2612.53","5329.06","2603.45","3258.57","2722.03","2437.78","3395.39","1942.79","2618.46","3522.53","3249.22","4181.57","4161.74","3348.25","2621.27","3107.35","2971.81","4792.47","3866.76","4093.65","2898.15","3527.67","3224.8","2641.78","3817.68"
"Max (BQML) Value","12031.62","16666.07","8349.73","12706.89","8041.62","6937.56","12031.62","12278.1","18109.04","12645.26","14917.56","13536.21","13289.72","8257.29","12984.18","14917.56","12768.51","18139.86","10344.72","17464.59","9944.18","9207.29","8963.37","8411.35","14457.97"
"Mean (BQML) Value","5260.53","10782.2","5229.72","6600.95","5622.6","4879.4","7013.48","3911.96","5222.38","7196.44","6374.42","8320.15","8280.71","6477.87","5227.98","6212.19","5941.23","9304.18","7666.53","8002.99","5574.96","6912.61","6167.99","5093.45","7327"
"Standard Deviation (BQML) Value","1570.41","3212.26","1109.83","1608.59","618.84","738.96","1616.43","1507.1","2221.56","1418.45","1574.46","2273.29","1215.36","870.52","1379.22","2695.02","1708.65","3846.88","1303.62","3973.91","1300.26","823.41","1085.45","634.17","1255.11"
"Total (BQML) Value","175491.32","357968.88","174881.78","218887.61","182847.1","163752.71","228078.46","130503.03","175889.59","236618.8","218260.09","280888.38","279556.74","224911.72","176078.37","208729.68","199625.43","321924.75","259742","274982.66","194677.72","236964.3","216619.73","177455.92","256445.05"
"Volume (ml) Value","0.5","0.49","0.5","0.49","0.48","0.5","0.48","0.5","0.5","0.49","0.51","0.5","0.5","0.52","0.5","0.5","0.5","0.52","0.5","0.51","0.52","0.51","0.52","0.52","0.52"
