"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","2707.52","4219.49","2958.54","3664.08","2993.84","2535.74","3768.46","2582.7","2551.75","3829.57","3796.64","3946.16","4019.5","3156.15","2923.03","2929.38","3649.46","4306.26","3510.44","3642.3","3242.76","3712.39","3102.77","2716.68","3907.22"
"Max (BQML) Value","9063.48","11627.1","7781.67","10093.99","7657.08","6939.09","8658.03","10313.61","9095.15","10064.43","10562.79","10093.99","9188.07","7032.01","8062.52","9283.1","11656.66","10875.33","9439.36","9407.69","8313.82","8907.21","8501.76","7845.02","9937.73"
"Mean (BQML) Value","5517.98","8588.97","5900.66","7587.14","6079.36","5149.13","7698.86","5289.25","5144.33","7656.06","7474.55","7652.29","7950.58","6206.33","5741.2","5870.37","7227.15","8360.23","6951.85","7038.66","6230.72","7317.26","5989.15","5342.13","7439.33"
"Standard Deviation (BQML) Value","1108.83","1643.54","803.75","740.5","515.62","619.84","555.67","1497.64","1135.12","1238.39","750.51","1418.66","678.37","406.05","560.68","1107.73","1047.85","1263.23","819.79","1727.6","891.7","634.17","933.9","599.35","862.36"
"Total (BQML) Value","181872.48","283435.94","198734.25","246126.95","201105.21","170333.31","253138.61","173487.53","171408.93","257243.7","255031.79","265075.36","270001.57","212008.15","196348.96","196774.94","245145.09","289264.04","235806.76","244663.86","217825.93","249372.06","208422.47","182487.24","262459.62"
"Volume (ml) Value","0.49","0.49","0.5","0.48","0.49","0.49","0.49","0.49","0.5","0.5","0.51","0.52","0.51","0.51","0.51","0.5","0.5","0.52","0.5","0.52","0.52","0.51","0.52","0.51","0.53"
