"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","2764.91","3750.94","3579.06","3865.73","3031.6","3245.31","3990.27","2948.33","3495.47","3172.83","3795.65","3436.68","3590.28","3098.52","3469.82","2987.85","3565.35","3370.06","3790.5","3817.92","3521.56","3567.63","3308.7","3295.04","3296.37"
"Max (BQML) Value","6195.64","7905.6","7569.81","8485.92","6653.69","6867.21","8975.01","6806.99","7569.81","7051.53","7814.35","7296.07","7478.56","6471.2","7296.07","6379.96","7692.08","6806.99","8546.15","7936.62","7265.05","7447.54","7020.51","6715.74","6684.72"
"Mean (BQML) Value","5662.43","7489.95","7241.46","7878.42","6262.03","6550.39","8161.95","5880.28","6938.58","6442.81","7446.41","6854.27","7169.13","6036.46","6815.15","5903.03","7127.84","6542.7","7533.1","7429.35","6797.52","7015.46","6372","6338.41","6348.26"
"Standard Deviation (BQML) Value","231.33","249.43","203.08","226.36","155.2","112.95","177.47","281.24","230.79","315.57","154.99","273.04","142.62","116.5","148.49","224.94","240.03","186.32","330.72","290.05","180.62","155.37","266.87","142.92","192.23"
"Total (BQML) Value","185727.58","251961.79","240416.42","259672.66","203641.3","217997.08","268038.56","198047.91","234801.4","213128.32","254965.05","230851.75","241169.68","208136.97","233078.09","200703.01","239495.48","226377.29","254618.88","256461.13","236553.63","239648.2","222255.29","221337.37","221427.22"
"Volume (ml) Value","0.49","0.5","0.49","0.49","0.48","0.5","0.49","0.5","0.5","0.49","0.51","0.5","0.5","0.51","0.51","0.51","0.5","0.52","0.5","0.51","0.52","0.51","0.52","0.52","0.52"
