"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","14781.62","12746.54","20593.02","20399.92","19462.51","17657.48","17237.18","18068.76","15315.56","21800.93","15749.62","17116.78","16090.04","15894.72","15081.13","22594.32","19105.69","20033.36","15391.91","15657.45","15072.49","22692.17","14574.96","17029.67","13425.76"
"Max (BQML) Value","8980.42","11677.09","18830.99","17280.97","15051.09","21337.39","14926.78","11644.11","9043.85","16352.49","11768.42","13255","13534.06","16258.63","15020.65","15733.5","22174.54","13843.55","12017.03","14959.76","12666.46","19574.28","9787.14","19759.47","14711.15"
"Mean (BQML) Value","5903.25","5085.67","8237.82","8162.52","7757.86","7045.06","6893.74","7192.06","6106.32","8606.22","6242.32","6822.84","6374.24","6301.32","5959.09","8965.79","7622.87","7977.83","6104.87","6214.59","6012.26","8891.16","5794.53","6762.44","5341.44"
"Standard Deviation (BQML) Value","871.44","1355.23","1852.31","2188.4","2225.24","2745.72","2580.76","1710.86","917.47","2767.07","1911.2","1596.98","2332.91","2949.15","1628.2","2016.4","2472.2","2470.5","1666.29","2898.76","1736.64","3521.67","1222.65","3245.71","1938.63"
"Total (BQML) Value","992925.83","856223.14","1383294.79","1370323.61","1307355.2","1186105.49","1157873.02","1213732.63","1028792.02","1464433.85","1057949.03","1149785.55","1080816.34","1067695.88","1013044.69","1517728.28","1283386.58","1345700.3","1033920.8","1051757.35","1012464.22","1524300.5","979043.67","1143933.76","901848.64"
"Volume (ml) Value","2.5","2.51","2.5","2.5","2.51","2.51","2.5","2.51","2.51","2.53","2.52","2.51","2.52","2.52","2.53","2.52","2.51","2.51","2.52","2.52","2.51","2.55","2.52","2.52","2.51"
