"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","649385.94","795867.45","819700.32","750552.09","652549.99","655234.61","631011.35","663649.75","587837.97","715750.11","594899.81","637539.81","701591.46","825719.03","615931.57","775741.4","655738.03","663813.28","689086.06","678747.36","646094.89","801127.86","645965.13","613437.74","782997.71"
"Max (BQML) Value","12657.61","15157.88","17189.35","15658.36","12469.67","13939.42","13502.3","15001.62","11500.4","14845.35","12594.26","14188.61","15502.09","17846.1","13063.06","17033.09","14813.67","14095.69","12906.8","14127.37","13126.42","15563.33","12032.55","12845.56","14532.82"
"Mean (BQML) Value","6289.68","7730.28","7948.44","7288.79","6313.37","6351.02","6104.99","6418.58","5696.61","6922.27","5776.78","6175.23","6786.51","8003.25","5954.94","7562.71","6390.94","6431.9","6675.58","6617.07","6293.63","7810.93","6292.44","5976.97","7408.68"
"Standard Deviation (BQML) Value","1655.13","1722.41","1770.85","1712.02","1498.92","1541.95","1421.77","1719.57","1353.05","1801.23","1361.97","1495.83","1796.05","1945.39","1431.92","1774.08","1591.24","1400.07","1590.71","1742.1","1668.99","1763.95","1422.36","1551.57","1883.71"
"Total (BQML) Value","43621192.92","53460793.5","55061718.44","50416825.23","43833732.11","44014065.91","42386916.69","44579335.77","39486831.87","48079072.28","39961197.13","42825453.38","47127994.08","55466013.47","41373963.14","52108866.49","44047881.81","44590320.74","46287968.69","45593487.42","43400123.17","53814150.9","43391407.35","41206444.89","52596295"
"Volume (ml) Value","103.25","102.95","103.13","102.97","103.36","103.17","103.36","103.4","103.19","103.4","102.98","103.24","103.38","103.17","103.43","102.57","102.6","103.21","103.22","102.58","102.66","102.57","102.66","102.63","105.69"
