"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","162735.45","171839.82","154876.52","174055.5","166000.9","175831.52","182575.23","172248.87","203697.86","166528.87","173942.4","157603.52","172835.59","192146.9","199433.92","180962.93","145971.25","168170.9","181831.12","197055.93","216985.18","182062.04","167504.97","168927.47","210397.91"
"Max (BQML) Value","21182.64","19574.28","15020.65","27007.23","16258.63","33696.89","17839.08","21337.39","20317.58","15020.65","22113.66","19231.81","14680.71","20751.38","23567.27","17095.79","17714.78","16476.79","21060.87","22423.16","21525.11","20563.65","18488.51","21431.25","21152.2"
"Mean (BQML) Value","5951.34","6292.65","5670.98","6372.4","6071.42","6436.58","6679.08","6442.07","7440.94","6086.49","6665.73","6044.98","6471.07","7188.01","7463.44","6760.14","5590.39","6436.48","6974.57","7562.87","7928.38","6976.73","6416.55","6483.17","8062.76"
"Standard Deviation (BQML) Value","2219.23","2105.63","2021.92","2086.93","2292.29","2960.92","2204.95","2666.8","2786.47","1692.7","2786.39","2048.64","2328.33","3093.48","2531.84","2369.47","1780.62","2196.89","2486.59","3130.76","2688.45","2365.77","2675.65","2141.77","3285.47"
"Total (BQML) Value","10931426.41","11542994.23","10403518.13","11691828.03","11150776.11","11811128.03","12264123.25","11570471.02","13682993.84","11186241.36","11684230.76","10586699.47","11609882.8","12907081.36","13396571.77","12155820.61","9805324.97","11296541.57","12214139.67","13236835.23","14575542.55","12229651.23","11251809.36","11347362.65","14133056.33"
"Volume (ml) Value","27.34","27.31","27.31","27.31","27.34","27.32","27.34","26.74","27.38","27.36","26.1","26.07","26.71","26.73","26.72","26.77","26.11","26.13","26.07","26.06","27.37","26.1","26.11","26.06","26.1"
