"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","353349.42","305315.29","383199.9","322846.05","307894.28","320028.08","329086.6","408375.69","304943.85","405779.68","363899.53","342506.6","349453","296868.57","314022.83","420303.76","329262.04","329065.96","345985.92","363072.82","322345.56","337396.63","340861.83","404613.45","327885.52"
"Max (BQML) Value","11692.06","10663.47","11161.05","10881.77","10569.07","11068.61","9977.09","12502.34","10132.46","13749.23","11316.42","11098.11","11161.05","9009.47","9603.42","13375.56","10787.37","10537.6","10350.76","11910.36","10132.46","10226.86","11629.12","12315.5","10850.31"
"Mean (BQML) Value","6831","5899.88","7406.62","6237.5","6011.49","6243.97","6413.48","7959.46","5956.52","7848.65","7105.96","6687.36","6749.22","5732.5","6065.63","8204.61","6364.61","6408.77","6682.11","7080.76","6282.25","6581.01","6648.98","7895.94","6397.35"
"Standard Deviation (BQML) Value","1315.79","1093.23","1131.5","1169.2","1174.31","901.09","1158.27","1196.74","1257.79","1531.68","1237.54","1099.31","1100.95","1005.26","944.43","1290.31","1194.27","1148.95","1213.7","1356.74","1044.3","976.04","1128.77","1162.45","1068.72"
"Total (BQML) Value","23735535.69","20508940.03","25740681.47","21686533.21","20682178.18","21497241.85","22105729.62","27431814.65","20483989.11","27257432.84","24444218.03","23007191.19","23473801.49","19941548.39","21093851.46","28233058.85","22117514.87","22104343.66","23240907.58","24388685.71","21652913.84","22663939.63","22896706.87","27179093.67","22025049.45"
"Volume (ml) Value","51.73","51.75","51.74","51.76","51.22","51.25","51.31","51.31","51.19","51.7","51.21","51.22","51.78","51.79","51.77","51.23","51.73","51.35","51.78","51.28","51.31","51.27","51.27","51.24","51.25"
