"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","648359.61","795519.71","817522.96","753919.91","641760.35","648448.6","641985.85","657510.96","597158.13","714266.33","589054.24","626767.64","696656.27","819836.03","615683.98","775733.1","651610.61","652822.69","690753.51","672966.04","640418.45","798154.04","631335.11","607775.8","779454.04"
"Max (BQML) Value","8790.69","9675.78","9982.37","8668.42","7692.08","7692.08","8241.38","8303.43","8363.65","9889.3","7692.08","7874.57","8332.63","10011.57","7203","9889.3","8759.66","8027.87","8546.15","10622.92","8485.92","9615.56","7723.1","7754.13","9829.07"
"Mean (BQML) Value","6280.39","7724.9","7929.98","7321.11","6208.66","6285.64","6212.31","6359.43","5787.63","6906.45","5718.99","6074.39","6739.24","7947.51","5952.24","7561.48","6351.15","6325.63","6693.44","6558.81","6237.14","7779.09","6150.5","5920.74","7373.36"
"Standard Deviation (BQML) Value","793.54","734.87","540.87","514.18","604.11","412.98","601.34","611.77","549.28","623.55","423.92","533.92","678.66","876.91","467.97","638.45","471.63","459.49","652.85","658.51","726.05","665.62","512.73","474.16","922.9"
"Total (BQML) Value","43552251.43","53437434.92","54915459","50643052.12","43108959.19","43558229.02","43124106.81","44166975.18","40112895.04","47979402.73","39568532.74","42101854.55","46796482.26","55070834.99","41357331.85","52108309.41","43770631.14","43852049.62","46399976.32","45205138.56","43018819.79","53614390.41","42408664.75","40826115.78","52358256.13"
"Volume (ml) Value","103.24","102.98","103.09","102.98","103.37","103.16","103.34","103.39","103.18","103.42","103","103.18","103.37","103.16","103.44","102.59","102.6","103.2","103.2","102.6","102.68","102.6","102.65","102.65","105.71"
