"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","3853.44","3814.68","3460.92","3856.74","3012.24","3791.12","3167.24","3938.43","4213.51","3025.8","3125.79","3496.72","2934.88","2844.21","3325.9","4115.58","3911.15","2825.13","2776.68","3820.67","3481.27","4220.38","3170.85","3878.49","3504.46"
"Max (BQML) Value","8632.23","10563.96","8912.86","9785.5","8195.91","9162.73","7386.7","8507.29","9504.87","7417.45","6358.36","8507.29","6669.75","6419.87","7542.39","9879.68","9130.06","7478.96","7073.39","8693.74","9037.8","8787.92","9723.99","8476.54","7884.53"
"Mean (BQML) Value","7749.92","7457.6","6742.46","7504.9","5854.78","7292.69","6078.65","7532.93","8031.61","5847.3","5951.49","6627.69","5556.5","5372.72","6275.58","7765.61","7601.95","5306.84","5204.18","7160.87","6926.76","7866.14","5903.42","7220.89","6502.91"
"Standard Deviation (BQML) Value","417.08","859.02","616.82","559.14","699.53","908.68","322.46","371.72","771.16","575","193.78","775.51","333.73","305.73","390.38","1071.52","467.87","489.04","690.85","1212.1","1066.97","280.41","1295.6","522.63","633.74"
"Total (BQML) Value","258847.23","256243.31","232480.09","259069.06","202341.14","254660.78","212752.71","264556.39","283034.09","203252.29","209968.63","234885.35","197144.65","191053.93","223410.69","276455.68","262723.38","189772.73","186517.82","256645.57","233847.48","283495.64","212995.51","260529.72","235405.17"
"Volume (ml) Value","0.5","0.51","0.51","0.51","0.51","0.52","0.52","0.52","0.52","0.52","0.53","0.53","0.53","0.53","0.53","0.53","0.51","0.53","0.53","0.53","0.5","0.54","0.54","0.54","0.54"
