"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","164481.13","172994.25","154199.36","172085.95","164884.36","174419.61","182218.29","172049.18","200238.7","169212.01","178035.81","162149.67","173277.85","194184.55","200540.2","180216.95","143210.33","166995.87","184197.94","196550.83","217862.8","183637.83","165235.73","167937.77","210275.36"
"Max (BQML) Value","14984.67","19257.67","14365.91","16346.45","16161.33","25417.39","17274.6","21950.81","19534.09","16037.07","21268.65","20091.99","14457.2","20155.38","22166.36","16716.7","18111.45","15788.55","20865.44","21671.86","20959.27","19658.35","18296.57","20835.01","20710.75"
"Mean (BQML) Value","6017.41","6334.38","5643.97","6298.51","6033.61","6389.35","6670.82","6434.6","7320.15","6184.29","6821.04","6216.66","6484.89","7265.53","7506.18","6734.52","5488.41","6394.57","7061.16","7540.04","7965.3","7040.33","6332.8","6442.83","8055.86"
"Standard Deviation (BQML) Value","2168.34","2159.55","1995.44","2019.89","2272.07","2700.16","2170.76","2699.85","2678.39","1841.32","2861.3","2114.35","2310.16","3053.06","2423.12","2386.92","1819.86","2189.8","2514.32","3018.33","2623.9","2366.16","2699.27","2165.91","3148.71"
"Total (BQML) Value","11048688.93","11620540.31","10358031.83","11559527.21","11075775.16","11716286.22","12240146.71","11557057.42","13450631.73","11366475.93","11959197.36","10892077.37","11639590.84","13043956.19","13470884.18","12105710.83","9619865.79","11217611.03","12373125.44","13202906.58","14634495","12335501.43","11099377.55","11280881.75","14124824.16"
"Volume (ml) Value","27.33","27.31","27.32","27.32","27.33","27.3","27.32","26.74","27.35","27.36","26.1","26.08","26.72","26.73","26.72","26.76","26.09","26.12","26.09","26.07","27.35","26.08","26.09","26.07","26.1"
