"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","651793.02","781016.97","802450.78","744652.92","632688.5","650153.37","643801.99","651279.37","599087.89","712841.7","586011.59","620074.42","693923.26","803522.67","614064.21","759883.27","650960.57","645237.55","687778.12","669916.16","635116.41","780038.13","627952.96","605327.39","771251.72"
"Max (BQML) Value","8224.25","8912.05","9599.86","8194.84","7356.73","7266.88","7686.75","7565.85","7864.83","10766.35","6848.64","7057.76","8941.46","9240.44","6909.09","9211.03","7954.68","7266.88","7835.42","11215.63","7864.83","9031.32","7147.61","7386.14","9152.21"
"Mean (BQML) Value","6312.99","7583.94","7781.54","7231.12","6120.47","6301.04","6227.62","6298.86","5805.8","6893.03","5691.62","6007.13","6712.3","7787.16","5935.65","7406.34","6343.05","6253.65","6663.38","6531.93","6185.47","7604.11","6117.37","5897.92","7296.84"
"Standard Deviation (BQML) Value","611.14","641.65","503.73","392.92","594.06","270.93","510.61","469.92","496.04","698.99","294.04","448.86","731.64","681.77","365.43","606.63","317.1","392.88","711.94","705.21","565.16","592.2","403.07","332.74","716.58"
"Total (BQML) Value","43782883.66","52463242.63","53903015.44","50020560.43","42499576.07","43672743.63","43246102.29","43748380.38","40242522.54","47883706.07","39364148.64","41652250.72","46612898.15","53975017.91","41248527.09","51043629","43726965.68","43342533.06","46200110.76","45000269.01","42662665.85","52397491.12","42181475.95","40661648.51","51807281.42"
"Volume (ml) Value","103.25","102.98","103.12","102.98","103.37","103.18","103.38","103.4","103.19","103.41","102.96","103.22","103.38","103.19","103.45","102.6","102.63","103.18","103.22","102.56","102.68","102.58","102.65","102.63","105.7"
