"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","15702.08","13745.76","21303.35","19531.77","17911.62","18995.67","16922.28","17093.32","16446.08","23276.39","14645.77","16102.98","15613.21","17865.81","14428.76","20790.16","18336.29","19878.07","16046.67","14773.09","16134.06","23988.41","16178.48","16679.04","13380.22"
"Max (BQML) Value","9040.1","12710.25","18580.45","17465.11","15088.96","20752.42","15351.84","11653.62","9481.64","17319.63","11388.18","12768.95","13766.89","17495.74","17378.33","15323.76","21780.98","13884.29","12916.98","14764.82","14236.5","21104.63","10479.58","19578.38","14971.55"
"Mean (BQML) Value","6253","5470.05","8536.21","7794.72","7154.95","7584.38","6754.93","6807.03","6538.43","9234.26","5822.68","6426.36","6147.63","7056.09","5725.56","8255.72","7303.74","7908.49","6381.14","5842.87","6441.83","9460.86","6383.68","6595.13","5282.02"
"Standard Deviation (BQML) Value","997.93","1549.35","2044.5","2291.05","2208.72","2880.24","2643.07","1748.54","983.52","2985.06","1822.12","1575.76","2373.66","3283.83","1714.28","1990.82","2556.74","2463.56","1807.63","2790.9","2009.55","3711.2","1380.75","3261.95","1951.71"
"Total (BQML) Value","1054755.55","923343.75","1431009.91","1312007.39","1203176.92","1275996.07","1136720.06","1148209.62","1104732.5","1563544.37","983800.37","1081685.14","1048786.07","1200099.59","969222.81","1396537.38","1231703.25","1335269.66","1077902.85","992352.31","1083772.67","1611373.07","1086757.05","1120381.08","898789.03"
"Volume (ml) Value","2.51","2.51","2.5","2.51","2.5","2.5","2.51","2.51","2.52","2.52","2.52","2.51","2.54","2.53","2.52","2.52","2.51","2.51","2.51","2.53","2.5","2.54","2.53","2.53","2.53"
