"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","2718.1","4372.65","2835.72","3621.87","2936.26","2527.65","3641.38","2371.08","2549.16","3730.78","3759.19","3951.12","4045.06","3148.24","2845.41","2881.48","3430.89","4427.4","3625.72","3507.76","3139.03","3724.48","3139.87","2712.08","3914.66"
"Max (BQML) Value","9840.11","11926.37","7596.47","10648.24","7721.94","6881.91","8781.02","10461.09","10182.5","10431.32","11116.11","10337.75","9652.96","6943.58","9340.34","9808.21","11209.68","11739.22","9652.96","9901.78","8532.2","8904.37","8532.2","7098.83","10025.13"
"Mean (BQML) Value","5460.01","8857.78","5737.47","7381.43","5976.9","5065.32","7530.86","4774.36","5120.65","7548.42","7357.7","7751.42","8077.24","6133.31","5695.31","5760.65","6802.34","8526.42","7121.36","6897.74","6045.24","7315.33","6026.12","5271.36","7496"
"Standard Deviation (BQML) Value","1169.17","1744.81","900.12","832.8","487.22","580.33","635.16","1450.08","1274.05","1260.08","1023.39","1528.6","646.68","425.09","728.23","1294.71","1031.54","1576.9","931.63","2141.98","940.79","634.2","902.9","506.17","791.22"
"Total (BQML) Value","182582.86","293723.86","190483.87","243291.91","197237.57","169789.57","244602.26","159272.6","171234.7","250607.49","252516.3","265408.68","271718.43","211476.4","191134.72","193557.75","230463.16","297401.56","243550.67","235626.96","210857.88","250184.37","210914.38","182178.28","262959.7"
"Volume (ml) Value","0.5","0.49","0.49","0.49","0.49","0.5","0.48","0.5","0.5","0.49","0.51","0.51","0.5","0.51","0.5","0.5","0.5","0.52","0.51","0.51","0.52","0.51","0.52","0.51","0.52"
