"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","14419.58","13192.82","19772.55","21110.41","19118.84","17094.07","16317.56","16990.71","16227.13","20856.78","16240.92","16328.96","15339.51","16455.34","14910.28","23012.47","20102.23","19647.17","15494.3","15804.88","14957.83","20514.37","15508.48","17447.07","14347.48"
"Max (BQML) Value","7967.14","8278.87","12028.12","13154.16","10153.49","13122.35","10685.77","8686.03","9780.27","11841.5","9903.26","10342.23","9216.18","10904.19","10717.58","13434.08","13873.05","10653.96","9216.18","10467.34","9216.18","12715.19","10123.81","12997.24","10248.92"
"Mean (BQML) Value","5769.63","5258.73","7909.61","8434.75","7646.28","6823.51","6529.06","6769.38","6486.7","8214.19","6441.61","6511.91","6092.72","6560.75","5887.42","9142.51","8016.66","7824.04","6167.33","6265.7","5958.03","8060.43","6156.92","6928.18","5706.79"
"Standard Deviation (BQML) Value","618.96","934.74","1260.36","1435.58","1285.12","1570.6","1627.75","982.49","835.91","1700.06","1231.46","955.4","1000.58","1891.56","1280.97","1171.45","1625.34","1349.05","1149.38","1852.28","1150.76","1765.62","1057.94","1990.69","1192.27"
"Total (BQML) Value","968606.2","886201.01","1328181.36","1418049.35","1284269.48","1148259.57","1096099.18","1141316.62","1090024.94","1401011.99","1090951.29","1096865.32","1030400.43","1105354.5","1001568.29","1545816.05","1350326.98","1319759.32","1040798.29","1061660.99","1004762.23","1378011.31","1041750.85","1171971.62","963763.28"
"Volume (ml) Value","2.5","2.51","2.5","2.5","2.5","2.51","2.5","2.51","2.5","2.54","2.52","2.51","2.52","2.51","2.53","2.52","2.51","2.51","2.51","2.52","2.51","2.55","2.52","2.52","2.51"
