"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","2668.16","5314.19","2529.13","3304.8","2851.3","2621.75","3398.25","2379.43","2607.97","4039.42","2982.14","4153.67","4099.37","3721.42","2350.18","3125.48","3484.72","4713.14","3368.42","4141.99","3004.52","3568","3237.18","2864.68","3848.22"
"Max (BQML) Value","11771.02","17026.12","8335.68","14119.1","8718.52","8072.8","10566.35","13942.99","15969.49","16321.7","9392.31","14032.32","11329.48","8894.62","8218.27","14119.1","16467.18","16321.7","9392.31","14764.82","9599.05","9716.45","9892.56","10625.05","13649.48"
"Mean (BQML) Value","5353.29","10752.1","5080.41","6735.23","5896.86","5266.47","7002.16","4808.47","5226.29","8232.41","5898.69","8215.98","8061.08","7199.86","4676.21","6278.35","6950.08","9118.53","6662.75","8032.04","5779.57","6999.8","6248.59","5574.43","7385.61"
"Standard Deviation (BQML) Value","1838.18","3281.38","1187.1","1816.5","755.89","976.04","1383.15","2608.71","2122.86","2294.87","894.24","2387.07","1382.58","954.13","801.87","2628.38","2254.23","3325.26","1073.81","3429.03","1430.42","885.92","1395.66","1087.66","1557.24"
"Total (BQML) Value","179228","356969.8","169889","221993.07","191530.01","176110.8","228270.5","159833.7","175185.23","271340.08","200319.38","279014.6","275366.61","249979.19","157868.86","209948.03","234078.73","316595.51","226266.97","278230.04","201822.56","239673.16","217450.86","192429.41","258496.48"
"Volume (ml) Value","0.5","0.49","0.5","0.49","0.48","0.5","0.49","0.49","0.5","0.49","0.51","0.51","0.51","0.52","0.5","0.5","0.5","0.52","0.51","0.52","0.52","0.51","0.52","0.51","0.52"
