"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","348078.62","307056.3","383101.38","325954.99","306215.84","318761.54","334647.46","407994.89","307959.56","407184.59","362808.38","344265.33","348919.73","300042","312685.79","415380.99","331971.17","329143.1","349849.72","360228.18","326443.91","337460.09","336450.01","403719.79","332397.37"
"Max (BQML) Value","13438.95","12594.26","13282.68","15001.62","11939.63","13783.16","13126.42","14625.73","13063.06","17721.51","13751.48","13470.62","12782.21","10719.06","10875.33","17846.1","13626.89","14127.37","12469.67","14532.82","11470.83","12157.14","14813.67","15094.53","13375.6"
"Mean (BQML) Value","6739.97","5930.25","7414.28","6290.62","5972.68","6213.77","6518.22","7950.66","6008.78","7863.87","7080.54","6719.12","6742.1","5789.19","6037.59","8114.18","6409.96","6416.74","6759.37","7030.59","6358.58","6588.14","6568.72","7887.12","6481.54"
"Standard Deviation (BQML) Value","1695.21","1505.18","1638.26","1730.3","1544.38","1278.86","1627.21","1639.94","1724.48","2133.72","1751.5","1476.22","1519.94","1427.56","1186.97","1857.87","1642.52","1570.88","1662.34","1866.43","1433.24","1383.16","1541.93","1713.82","1548.17"
"Total (BQML) Value","23381480.63","20625889.01","25734063.56","21895370.41","20569432.71","21412164.48","22479269.16","27406235.17","20686563.15","27351805.28","24370922.15","23125330.09","23437980.68","20154717.43","21004038.66","27902381.9","22299495.1","22109525.2","23500450.85","24197602.9","21928212.73","22668202.34","22600352.21","27119063.74","22328124.29"
"Volume (ml) Value","51.64","51.78","51.67","51.82","51.27","51.3","51.34","51.32","51.25","51.78","51.24","51.24","51.75","51.83","51.79","51.19","51.79","51.29","51.76","51.24","51.34","51.22","51.22","51.19","51.28"
