"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","16045.95","19291.1","22698.36","16192.92","18310.95","15123.48","16593.69","17054.67","18228.56","16529.15","17454.13","18785.31","16365.49","15261.33","14486.68","19772.99","17479.93","16697.97","15011.19","14423.43","19346.31","21012.14","16930.58","12381.18","20171.64"
"Max (BQML) Value","9535.62","9535.62","11530.78","8632.23","11280.91","8040.22","8259.34","9879.68","10002.7","8195.91","9099.3","10377.51","10688.89","9099.3","8445.78","9504.87","8040.22","9130.06","7478.96","8601.48","10066.13","11467.35","8787.92","6762.01","11375.09"
"Mean (BQML) Value","6588.35","7578.02","8914.39","6350.58","7177.88","5925.63","6488.06","6657.44","7356.8","6441.82","6802.31","7321.1","6372.13","5938.07","5965.63","7684.63","6788.73","6765.09","6013.52","5587.46","7830.5","8128.59","6542.1","5119.93","7769.44"
"Standard Deviation (BQML) Value","705.08","1145.72","791.51","762.84","1265.81","752.83","809.64","1426.66","1223.32","591.13","888.72","1243.78","1355.52","1413.41","934.33","877.54","623.26","1173.63","424.01","747.86","669.04","958.6","894.55","534.79","935.74"
"Total (BQML) Value","1077854.4","1295840.76","1524716.54","1087726.94","1230001.08","1015889.65","1114648.05","1145613.11","1224466.57","1110312.32","1172446.16","1261865.49","1099319.09","1025148.96","973113.63","1328210.75","1174179.33","1121652.46","1008346.46","968864.71","1299549.21","1411447.92","1137277.92","831680.9","1354989.56"
"Volume (ml) Value","2.44","2.55","2.55","2.55","2.55","2.55","2.56","2.56","2.48","2.57","2.57","2.57","2.57","2.57","2.43","2.57","2.57","2.47","2.5","2.58","2.47","2.58","2.59","2.42","2.6"
