"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","14980.74","12637.78","20291.31","20448.7","19794.4","18082.88","16799.79","17371.34","16034.56","19990.41","17170.31","16616.42","15603.11","14275.59","15741.5","22682.28","19172.21","19662.75","16332.68","16705.22","15347.99","19663.55","14545.77","16751.36","14423.74"
"Max (BQML) Value","7942.08","7847.48","12131.74","12600.53","10098.92","13163.92","10380.62","8597.96","9661.67","11662.95","9787.8","10380.62","9506.11","10662.31","9787.8","11286.66","12695.13","10443.68","9224.41","10130.46","9224.41","12318.84","8505.46","12131.74","9880.3"
"Mean (BQML) Value","5967.16","5037.49","8130.68","8158.71","7875.2","7204.51","6693.31","6896.48","6399.06","7897.06","6767.08","6621.83","6188.64","5675.51","6230.28","9000.69","7649.41","7822.82","6507.2","6617.95","6113.44","7771.59","5743.49","6614.38","5697.99"
"Standard Deviation (BQML) Value","671.02","814.39","968.06","1162.31","1067.54","1728.49","1479.79","834.62","851.43","1596.62","1189.93","905.79","1067.95","1766.8","1136.75","1005.74","1280.97","1411.75","1158.65","1711.28","1107.65","1868.32","961.12","1894.2","1208.01"
"Total (BQML) Value","1006301.31","848917.36","1363027.8","1373600.57","1329649.3","1214680.84","1128491.91","1166884.83","1077089.13","1342815.35","1153381.13","1116174.85","1048107.68","958933.8","1057403.58","1523636.38","1287854.61","1320805.31","1097114.69","1122139.3","1030970.35","1320859.16","977082.72","1125239.05","968885.6"
"Volume (ml) Value","2.51","2.51","2.5","2.51","2.51","2.51","2.51","2.52","2.51","2.53","2.54","2.51","2.52","2.52","2.53","2.52","2.51","2.51","2.51","2.52","2.51","2.53","2.53","2.53","2.53"
