"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","177158.13","176688.75","153029.87","186273.84","164368.55","173671.41","175554.05","177332.03","201196.98","160124.02","190730.83","173454.31","163099.6","199635.04","210380.49","172288.24","149065.86","164398.05","186356.41","208180.66","214422.27","176486.77","156372.88","181835.39","211415.03"
"Max (BQML) Value","8585.85","7976.63","6545.96","8251.05","6972.23","7916.25","7489.98","7824.78","8554.75","7610.73","9804.3","8860.28","7367.4","8889.55","9467.67","7519.25","6637.43","7003.33","8311.43","9467.67","9315.82","8007.73","7184.45","8434","9315.82"
"Mean (BQML) Value","6479.07","6470.22","5598.96","6821.07","6014.21","6353.21","6416.49","6627.45","7356.62","5857.63","7307.76","6651.28","6104.51","7467.47","7874.5","6439.96","5710.47","6295.53","7140.48","7986.91","7832.69","6767.56","5990.94","6972.66","8102.11"
"Standard Deviation (BQML) Value","667.72","625.2","333.82","471.69","416.48","467.45","388.81","586.89","554.4","493.65","1008.13","712.58","420.17","626.33","526.98","646.69","342.41","275.07","462.84","442.06","693.47","402.28","458.71","552.33","508.82"
"Total (BQML) Value","11900240.71","11868711.36","10279473.7","12512570.49","11041126.32","11666027.22","11792489.59","11911921.78","13515002.02","10756008.92","12811959.28","11651444.17","10955887.52","13410082.13","14131885.67","11573115.35","10013198.74","11043107.85","12518116.55","13984116.98","14403384.06","11855143.57","10504033.11","12214426.3","14201379.02"
"Volume (ml) Value","27.34","27.31","27.33","27.31","27.33","27.34","27.36","26.76","27.35","27.34","26.1","26.08","26.72","26.73","26.72","26.75","26.1","26.11","26.1","26.07","27.38","26.08","26.1","26.08","26.09"
