"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG_Sphere 1","BG_Sphere 2","BG_Sphere 3","BG_Sphere 4","BG_Sphere 5","BG_Sphere 6","Sphere- 1","Sphere- 1 (Above 50% CNTS)","Sphere- 2","Sphere- 2 (Above 50% CNTS)","Sphere- 3","Sphere- 3 (Above 50% CNTS)","Sphere- 4","Sphere- 4 (Above 50% CNTS)","Sphere- 5","Sphere- 5 (Above 50% CNTS)","Sphere- 6","Sphere- 6 (Above 50% CNTS)"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","283987.73","262096.96","262284.39","271982.55","279649.09","286250.18","254259.13","264865.15","264429.5","272522.2","1649.28","3844.32","9802.31","23916.95","45835.85","126383.41","2668.06","2668.06","14304.94","14304.94","39207.24","38671.43","116051.62","111584.18","234301.11","227309.38","771644","707489.85"
"Max (BQML) Value","7413.18","6998.82","7017.58","7447.58","8279.43","8335.72","6639.18","7017.58","7175.51","7854.12","7145.8","6149.76","6331.15","6879.98","7324.05","7511.69","9796.15","9796.15","22735.21","22735.21","27854.54","27854.54","40215.05","40215.05","41039.09","41039.09","51235.53","51235.53"
"Mean (BQML) Value","5573.93","5146.2","5147.95","5337.47","5483.38","5607.88","4981.15","5198.13","5184.28","5339.49","6762.23","5596.91","5318.48","5740.06","5657.37","5668.75","9262.13","9262.13","19119.93","19119.93","21151.79","21317.58","27651.11","28142.53","28888.45","29317.87","34535.42","36101.19"
"Standard Deviation (BQML) Value","614.59","535.43","706.56","603.24","819.26","704.56","700.75","638.33","806.22","783.52","189.64","318.11","380.86","477.06","476.43","766.74","327.97","327.97","1894.78","1894.78","3285.4","3120.56","5127.63","4840.48","5253.32","4964.55","7496.36","6613.93"
"Total (BQML) Value","17232796.37","15904431.61","15915805.6","16504304.35","16969520.86","17370085.08","15428820.52","16072409.67","16045974.09","16537051.07","100081.03","233279.13","594818.96","1451315.67","2781387.04","7669132.55","161902.01","161902.01","868044.81","868044.81","2379153.45","2346639.65","7042184.04","6771093.49","14217738.21","13793470.15","46824501.1","42931532.17"
"Volume (ml) Value","50.95","50.93","50.95","50.96","51","51.04","51.04","50.95","51.01","51.04","0.24","0.69","1.84","4.17","8.1","22.29","0.29","0.29","0.75","0.75","1.85","1.81","4.2","3.96","8.11","7.75","22.34","19.6"
