"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG_Sphere 1","BG_Sphere 2","BG_Sphere 3","BG_Sphere 4","BG_Sphere 5","BG_Sphere 6","Sphere- 1","Sphere- 1 (Above 50% CNTS)","Sphere- 2","Sphere- 2 (Above 50% CNTS)","Sphere- 3","Sphere- 3 (Above 50% CNTS)","Sphere- 4","Sphere- 4 (Above 50% CNTS)","Sphere- 5","Sphere- 5 (Above 50% CNTS)","Sphere- 6","Sphere- 6 (Above 50% CNTS)"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","393628.11","357387.9","330124.98","320035.22","307202.4","322681.93","321824.95","327854.36","333170.6","342145.26","1958.86","4901.65","10727.21","33516.39","56598.06","139650.15","7196.65","5988.91","29544.76","26970.14","62647.81","49237.74","185578.33","123599.24","319017.61","253645.64","1033195.99","827199.22"
"Max (BQML) Value","25520.61","28864.17","31652.15","25581.49","18303.3","17499.12","18118.11","17374.82","23661.11","22608.32","11707.52","10281.81","14183.47","21771.16","15081.51","15918.67","43948.21","43948.21","61693.41","61693.41","60856.25","60856.25","83124.63","83124.63","68908.19","68908.19","80367.09","80367.09"
"Mean (BQML) Value","7855.84","7134.1","6589.18","6387.87","6133.47","6445.21","6420.23","6545.72","6653.37","6834.62","7198.16","7201.63","6073.66","8296.71","6996.95","6303.91","28369.76","33083.32","42698.14","44932.16","35857.54","41198.88","44776.76","55276.5","40138.92","45449.57","47117.95","52250.66"
"Standard Deviation (BQML) Value","2791.8","2798.33","2661.84","2637.59","2308.08","2326.44","2468.11","2258.25","2113.26","2593.33","1372.9","1274.93","1836.5","2713.91","2213.17","2155.01","9431.99","6258.29","9516.17","8137.4","10418.48","7740.67","14188.19","10397.28","10250.14","6761.05","11376.19","8706.79"
"Total (BQML) Value","26441175.89","24006812.63","22175480.67","21497721.66","20635702.39","21675508.76","21617943.23","22022956.25","22380064.28","22982918.69","131582.44","329258.47","720578.46","2251396.27","3801860.74","9380717.54","483420.64","402293.18","1984609.76","1811664.54","4208240.78","3307446.31","12465850.46","8302530.3","21429365.53","17038134.92","69402860.23","55565442.04"
"Volume (ml) Value","50.11","50.1","50.1","50.1","50.09","50.07","50.13","50.09","50.08","50.06","0.27","0.68","1.77","4.04","8.09","22.15","0.25","0.18","0.69","0.6","1.75","1.2","4.14","2.24","7.95","5.58","21.93","15.83"
