"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG_Sphere 1","BG_Sphere 2","BG_Sphere 3","BG_Sphere 4","BG_Sphere 5","BG_Sphere 6","Sphere- 1","Sphere- 1 (Above 50% CNTS)","Sphere- 2","Sphere- 2 (Above 50% CNTS)","Sphere- 3","Sphere- 3 (Above 50% CNTS)","Sphere- 4","Sphere- 4 (Above 50% CNTS)","Sphere- 5","Sphere- 5 (Above 50% CNTS)","Sphere- 6","Sphere- 6 (Above 50% CNTS)"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","405981.03","369802.43","342674.04","321900.34","301680.89","315986.56","309524.2","324954.93","328624.52","334862.55","2266.26","5202.1","12106","33228.59","56793.49","137277.87","4058.18","4040.98","22668.82","22609.99","52457.87","50284.62","159534.96","139214.08","298529.96","281118.08","980798.5","917727"
"Max (BQML) Value","13210.23","12432.01","14332.81","11091.54","9286.07","9379.46","10842.51","10468.96","11684.93","11498.15","10157.67","8879.45","10033.16","12151.86","10375.58","9472.84","19568.26","19568.26","42344.72","42344.72","42656.01","42656.01","60977.18","60977.18","52344.81","52344.81","63749.58","63749.58"
"Mean (BQML) Value","8104.49","7383.41","6838.68","6423.64","6024.24","6310.88","6176.08","6486.91","6563.21","6688.27","8255.5","7623.05","6863.57","8224.26","7040.8","6199.15","15997.68","16042.85","32761.03","32817.21","29882.56","30562.5","38448.77","41036.62","37558.34","39005.91","44728.41","46473.72"
"Standard Deviation (BQML) Value","1349.72","1233.08","1421.84","1166.84","1089.11","1018.46","1273.01","1185.39","1128.62","1115.32","715.38","503.55","871.06","1436.16","961.61","1058.35","2398.42","2345.94","4744.66","4677.1","5768.99","5292.5","8989.75","7793.49","7831.33","6688.22","9458.42","8252.2"
"Total (BQML) Value","27270957.99","24840733.63","23018438.87","21623007.06","20264806.46","21225760.96","20791664.86","21828193.2","22074690.53","22493717.27","152231.51","349440.83","813195.87","2232063.31","3814988.29","9221364.55","272600.4","271445","1522732.46","1518780.52","3523751.77","3377767.93","10716439.96","9351425.21","20053148.81","18883541.22","65883164.78","61646463.63"
"Volume (ml) Value","50.09","50.09","50.11","50.11","50.08","50.07","50.12","50.09","50.07","50.07","0.27","0.68","1.76","4.04","8.07","22.14","0.25","0.25","0.69","0.69","1.76","1.65","4.15","3.39","7.95","7.21","21.93","19.75"
