"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG_Sphere 1","BG_Sphere 2","BG_Sphere 3","BG_Sphere 4","BG_Sphere 5","BG_Sphere 6","Sphere- 1","Sphere- 1 (Above 50% CNTS)","Sphere- 2","Sphere- 2 (Above 50% CNTS)","Sphere- 3","Sphere- 3 (Above 50% CNTS)","Sphere- 4","Sphere- 4 (Above 50% CNTS)","Sphere- 5","Sphere- 5 (Above 50% CNTS)","Sphere- 6","Sphere- 6 (Above 50% CNTS)"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","1561833.36","1648866.92","1722608.43","1733530.59","1662979.44","1722737.85","1944172.72","1672786.31","1648451.08","1695277.73","10397.16","23634.3","70868.4","155374.5","340592.2","752574.92","16730.01","16730.01","69575.66","66708.73","240946.46","240214.73","717356.41","599884.52","1841166.99","1399871.73","5522011.61","4261686.83"
"Max (BQML) Value","47275.96","48196.38","52798.46","52798.46","48196.38","59552.17","62002.63","53408.09","50336.05","54328.5","49726.42","44514.71","46044.75","53109.25","49415.63","47885.59","72748.8","72748.8","142736.34","142736.34","178644.56","178644.56","251094.52","251094.52","323843.31","323843.31","391679.22","391679.22"
"Mean (BQML) Value","31239.73","33108.34","34083.29","34556.3","33264.04","34658.76","38700.58","33131.08","33137.23","34100.18","41571.91","36379.16","39329.5","36214.33","35866.61","31885.6","66893.13","66893.13","103215.65","105684.54","135780.98","136007.59","160773.3","177141","189676.53","222175.52","230580.36","267242.56"
"Standard Deviation (BQML) Value","4205.14","4994.33","5679.49","5931.57","4600.84","6204.11","7595.72","5526.28","5175.34","5214.7","3523.46","2631.48","3400.42","5147.91","4778.42","5600.52","3085.54","3085.54","20716.99","19031.61","22228.52","22034.2","41670.87","33754.68","57017.61","41642.73","66382.43","47618.71"
"Total (BQML) Value","104913011.63","110759315.78","115712753.11","116446426.96","111707295.98","115721446.33","130595888.08","112366052.57","110731382.39","113876868.06","698408.09","1587586.72","4760442.21","10436969.37","22878595.28","50552705.04","1123804.63","1123804.63","4673604.56","4481024.46","16185093.34","16135940.92","48186972.54","40296034.68","123676685.44","94033565.23","370930012.52","286270232.95"
"Volume (ml) Value","50","49.8","50.54","50.17","49.99","49.71","50.24","50.49","49.75","49.71","0.25","0.65","1.8","4.29","9.5","23.6","0.25","0.25","0.67","0.63","1.77","1.77","4.46","3.39","9.71","6.3","23.95","15.95"
