"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG_Sphere 1","BG_Sphere 2","BG_Sphere 3","BG_Sphere 4","BG_Sphere 5","BG_Sphere 6","Sphere- 1","Sphere- 1 (Above 50% CNTS)","Sphere- 2","Sphere- 2 (Above 50% CNTS)","Sphere- 3","Sphere- 3 (Above 50% CNTS)","Sphere- 4","Sphere- 4 (Above 50% CNTS)","Sphere- 5","Sphere- 5 (Above 50% CNTS)","Sphere- 6","Sphere- 6 (Above 50% CNTS)"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","1922248.83","1719050.8","1604870.79","1675186.88","1717120.93","1710952.92","1728123.57","1667136.95","1703035.03","1630553.49","9099.64","20049.82","69755.85","154525.26","331753.47","821139.37","19946.17","19946.17","78889.46","64929.81","277253.12","232594.19","816206.24","575990.04","2006654.69","1374099.97","5838668","4201034.4"
"Max (BQML) Value","107030.01","73839.56","66693.36","62658.34","91514.87","99584.91","81896.02","79423.38","85007.2","76312.2","50566.86","39086.74","59248.27","66693.36","73839.56","70728.38","105481.21","105481.21","199169.83","199169.83","248174.3","248174.3","326048.91","326048.91","379713.34","379713.34","445170.38","445170.38"
"Mean (BQML) Value","38039.17","34100.08","31882.21","33205.26","34256.02","34249.75","34667.02","33189.86","33537.16","32854.54","35871.46","31118.44","39521.84","36222.51","35178.49","34952.84","77179.95","77179.95","119137.6","135283.17","157243.5","172146.83","183269.86","225471.86","206118.09","259363.83","243942.36","287919.88"
"Standard Deviation (BQML) Value","12640.92","9560.58","7188.63","7264.42","9982.05","8751.73","9571.64","9239.87","10306.12","8990.55","4465.23","2066.31","8128.75","8305.54","7715.61","9287.01","11347.43","11347.43","34770.26","25970.38","39906.96","33174.59","60718.98","43980.86","71481.95","49112.99","68355.62","44680.46"
"Total (BQML) Value","129123194.89","115473776.56","107803964.09","112527305.89","115344141.64","114929817.98","116083221.32","111986568.31","114397949.59","109529148.15","611249.76","1346805.97","4685708.87","10379922.96","22284871.23","55158383.66","1339843.99","1339843.99","5299240.52","4361529.46","18623920.14","15624046.12","54827011.13","38690971.07","134792988.59","92302399.15","392200767.71","282196027.88"
"Volume (ml) Value","50.53","50.41","50.34","50.45","50.13","49.96","49.85","50.23","50.78","49.63","0.25","0.64","1.76","4.27","9.43","23.49","0.26","0.26","0.66","0.48","1.76","1.35","4.45","2.55","9.74","5.3","23.93","14.59"
