"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","38080.56","35041.58","37091.27","34491.38","44689.74","33907.13","40059.24","39975.59","38229.18","41556.11","43298.98","48763.93","53719.72","44624.88","36574.2","29775.43","49053.06","43926.16","44634.63","51586.79","38316","39355.79","49392.96","45081.98","46556.05"
"Max (BQML) Value","86496.64","76724.5","85942.01","86760.75","102475.41","76460.39","86496.64","81874.68","78361.99","85942.01","92993.8","99490.95","112775.77","90828.08","80263.6","66688.25","108998.98","96242.37","92729.68","110081.84","85942.01","79708.97","106014.51","90828.08","95159.51"
"Mean (BQML) Value","76403.37","70222.18","72597.06","66500.83","86661.18","67465.73","77324.67","76634.69","73877.11","79302.5","85544.75","95000.55","103692.94","84486.65","70841.93","57080.61","93609.11","85874.61","84505.11","96471.01","72706.21","74763.74","95122.5","84494.73","86677.07"
"Standard Deviation (BQML) Value","2797.03","3335.85","4747.68","4987.47","7631.22","3216.45","2986.65","3250.44","2446.22","2560.01","2608.45","2902.58","4555.74","3143.28","3314.75","2669.39","6963.94","6368.06","3291.04","6672.85","5611.61","2213.22","4843.67","3910.92","4224.93"
"Total (BQML) Value","2557984.73","2353847.46","2491531.19","2316888.85","3001943.26","2277642.93","2690898.58","2685279.45","2567968.32","2791448","2908521.5","3275619.13","3608514.23","2997586.29","2456798.12","2000104.42","3295040.65","2950651.58","2998241.28","3465238.6","2573799.87","2643645.92","3317872.8","3028291","3127308.7"
"Volume (ml) Value","0.5","0.5","0.51","0.52","0.52","0.5","0.52","0.52","0.52","0.52","0.51","0.51","0.52","0.53","0.52","0.52","0.52","0.51","0.53","0.53","0.53","0.53","0.52","0.53","0.54"
