"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","97576.98","73469.61","89797.48","91856.11","102930.71","93095.38","98850.75","93317.86","107509.88","82172.71","103458.95","99048.55","87971.67","91097.24","87947.33","67600.14","79262.97","88219.23","89498.06","102536.96","95234.4","100344.3","97145.28","103689.77","79471.96"
"Max (BQML) Value","59191.02","52990.83","59809.7","69426.05","67247.24","61988.51","62916.52","45243.95","103197.62","48041.43","65391.22","54860.3","52372.15","67247.24","53609.5","52681.49","50516.13","60737.71","61679.17","52372.15","65391.22","75612.8","55788.31","56406.99","37806.4"
"Mean (BQML) Value","40103.63","29808.97","36504.27","36083.33","40414.8","37599.18","38803.77","36631.83","42173.32","32211.64","40527.45","38754.58","35436.07","35552.37","34307.11","26339.35","32253.03","35147.98","36007.74","39841.01","38224.06","40546.36","37658.93","40186.66","30729.73"
"Standard Deviation (BQML) Value","6205.64","7392.74","6971.31","11015.31","10133.46","5727.64","6108.98","5042.39","12653.76","3924.03","10712.27","4234.25","6993.36","9448.3","6349.25","7822.9","6380.57","8810.71","6731.86","5227.29","6065.06","10252.81","7762.31","4952.33","3246.4"
"Total (BQML) Value","6554537.11","4935172.87","6031964.85","6170249.11","6914163.45","6253494.92","6640100.37","6268439.1","7221760.04","5519786.07","6949646.99","6653386.64","5909319.74","6119273.44","5907684.91","4540903.2","5324330.4","5925948.85","6011851.98","6887714.11","6397179.1","6740426.13","6525538.66","6965151.26","5338368.78"
"Volume (ml) Value","2.43","2.46","2.46","2.55","2.55","2.48","2.55","2.55","2.55","2.55","2.55","2.56","2.48","2.56","2.56","2.57","2.46","2.51","2.49","2.57","2.49","2.47","2.58","2.58","2.59"
