"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","75649.68","97177.74","96565.79","98780.12","94856.11","77722.09","111814.45","86626.89","97565.9","100212.34","90976.61","107014.24","95615.59","83470.51","57409.09","77076.28","84905.34","78415.15","101595.75","82230.41","83678.79","111989.42","86063.46","104413.57","109356.35"
"Max (BQML) Value","62658.38","65144.6","75388.41","47469.29","75700.88","47768.18","69492.1","59248.3","60185.73","87167.41","75999.77","79722.32","51191.84","61109.58","48705.61","52115.68","52428.16","36600.54","53352","53352","71665.86","70415.95","64220.76","69492.1","58636.93"
"Mean (BQML) Value","30097.22","39409.07","38031.27","38839.59","37287.97","30538.28","43923.45","35172.79","40001.18","39283.16","37037.4","43810.74","37428.82","33801.32","22389.34","31340.46","33384.13","30517.84","39511.87","31980.44","32536.2","43503.72","34918.7","40504.57","42226.91"
"Standard Deviation (BQML) Value","9153.46","9886.41","7318.59","4962.82","12103.22","3723.28","10456.98","5366.59","6602.24","10521.83","7798.65","10824.02","4921.4","8707.07","7043.72","6328.38","7881.2","3277.95","5666.89","5065.23","8887.14","11900.3","6033.78","9064.37","5517.21"
"Total (BQML) Value","5081614.74","6527719.05","6486612.67","6635355.53","6371768.1","5220824.9","7510910.48","5818986.87","6553792.64","6731562.32","6111170.74","7188465.94","6422784.9","5606963.66","3856339.89","5177444.15","5703345.25","5267379.49","6824489.7","5523662.18","5620954.45","7522663.72","5781139.84","7013771.4","7345792.61"
"Volume (ml) Value","2.51","2.47","2.54","2.54","2.54","2.55","2.55","2.46","2.44","2.55","2.46","2.44","2.55","2.47","2.56","2.46","2.54","2.57","2.57","2.57","2.57","2.57","2.46","2.58","2.59"
