"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","15582.32","18078.31","12986.92","15173.63","21619.07","21066.66","16315.6","17904.95","15919.82","16868.09","18373.95","19092.53","15558.64","17301.36","14767.8","15206.23","16461.49","20993.75","14523.99","22000.74","16533.42","21171.21","17343.55","15892.8","23450.4"
"Max (BQML) Value","42362.89","40211.28","33146.81","33146.81","49116.57","53109.01","47275.75","41442.48","34688.8","37139.25","40820.9","45434.92","38059.66","39601.65","39601.65","31305.99","35298.43","43892.93","31305.99","47885.37","39601.65","47275.75","40211.28","35298.43","49415.41"
"Mean (BQML) Value","31301.17","36142.09","27502.21","30299","43118.1","41768.31","34248.99","35457.81","31415.45","33247.66","35671.48","37023.73","31631.97","33357.75","28440.29","29251.08","31593.36","41870.93","27779.61","41984.53","31515.3","40173.27","35218.19","29787.02","43707.92"
"Standard Deviation (BQML) Value","4962.17","2322.54","2210.26","691.47","2965.65","4079.01","4234.64","2099.42","1366.59","1599.5","1816.91","2770.97","2116.38","2652.29","2399.76","1016.47","1682.6","1252.88","1441.97","2544.18","3562.77","2623.25","2958.8","1851.29","3301.39"
"Total (BQML) Value","1046711.06","1214374.35","872370.07","1019258.29","1452217.66","1415110.43","1095967.75","1202728.87","1069381.89","1133080.12","1234233.36","1282502.16","1045120.31","1162183.87","991997.42","1021447.78","1105767.65","1410212.91","975619.81","1477855.36","1110599.13","1422133.74","1165017.77","1067566.85","1575233.5"
"Volume (ml) Value","0.5","0.5","0.47","0.5","0.5","0.5","0.48","0.5","0.51","0.51","0.52","0.52","0.49","0.52","0.52","0.52","0.52","0.5","0.52","0.52","0.52","0.53","0.49","0.53","0.54"
