"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Series Date","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28","2026-05-28"
"Integral Total (CNTS*ml) Value","24327.34","26890.61","26988.3","26832.32","23826.43","23301.89","26502.4","23261.73","28994.01","24069.72","24941.57","27911.87","23830.31","24452.19","25914.28","25442.47","22675.04","25847.61","25570.62","22989.15","26711.6","22848.74","23490.37","29105.43","26233.6"
"Max (CNTS) Value","560","641","580","728","651","644","551","494","751","709","655","832","658","645","589","606","513","650","689","575","701","580","515","692","728"
"Mean (CNTS) Value","270.3","282.6","285.31","295.88","262.67","257.09","277.71","256.5","323.22","266.31","275.63","292.46","265.36","268.92","285.43","280","250.56","272.67","271.53","254.95","280.98","255.33","261.53","315.99","291.53"
"Mean Ratio (-) Value","1","1.05","1.06","1.09","0.97","0.95","1.03","0.95","1.2","0.99","1.02","1.08","0.98","0.99","1.06","1.04","0.93","1.01","1","0.94","1.04","0.94","0.97","1.17","1.08"
"Volume (ml) Value","90","95.15","94.59","90.69","90.71","90.64","95.43","90.69","89.7","90.38","90.49","95.44","89.8","90.93","90.79","90.87","90.5","94.79","94.17","90.17","95.07","89.49","89.82","92.11","89.99"
