"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","40414.49","35307.73","35189.9","35779.89","33958.75","41003.91","36193.13","55070.93","53761.28","28562.06","24774.22","45320.67","45456.14","40235.15","48075.81","49632.01","51485.88","48487.68","40549.53","50645.43","56334.18","47066.3","54463.05","39332.32","39007.72"
"Max (BQML) Value","127581.35","103361.94","99905.09","94966.73","108901.48","92433.14","104671.68","146025.05","125047.77","76565.99","74461.82","103254.59","111070.07","130995.26","110769.48","113839.84","132820.31","111177.42","117940.83","106367.9","147141.53","118520.55","109889.16","96190.59","113367.48"
"Mean (BQML) Value","79471.95","69511.3","69852.56","69064.42","65100.2","79790.12","71421.88","105935.82","104857.88","56363.06","47875.66","88807.61","87742.09","78842.33","90917.66","94821.69","96929.95","92952.69","76426.3","96978.48","105584.12","88908.43","102534.91","73883.38","72866.1"
"Standard Deviation (BQML) Value","16603.08","11568.4","8411.63","11887.71","11259.82","8316.6","9518.75","17542.89","10399.67","5976.65","7707.79","6097.32","13215.09","18151.61","10270.04","11170.65","8234.94","9112.91","11878.43","6326.76","16110.32","16211.43","3794.67","10614.67","13736.88"
"Total (BQML) Value","2714761.92","2371725.72","2363810.72","2403441.88","2281110.84","2754354.85","2431200.89","3699278.85","3611305.48","1918598.65","1664158.08","3044324.85","3053424.86","2702715.01","3229395.43","3333930.53","3458460.45","3257062.17","2723833.22","3402004.96","3784135.04","3161583.76","3658445.73","2642069.49","2620265.01"
"Volume (ml) Value","0.51","0.51","0.5","0.52","0.52","0.51","0.51","0.52","0.51","0.51","0.52","0.51","0.52","0.51","0.53","0.52","0.53","0.52","0.53","0.52","0.53","0.53","0.53","0.53","0.54"
