"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","1625413.57","1566345.25","1597169.05","1506722.2","1711002.03","1875532.7","1835891.32","1740783.31","1796980.53","1587430.87","1663103.89","1633289.62","1634906.98","1631633.08","1587935.24","1935343.69","1837059","1885195.64","1974991.52","1679382.5","1602787.43","1824999.22","1751430.16","1518342.34","1707321.52"
"Max (BQML) Value","71375.4","58709.2","81031.19","72249.79","62594","91324.04","72999.27","73761.24","72249.79","69364.3","64979.84","69489.21","69239.38","66728.63","79282.41","91324.04","81530.84","89687.67","94209.53","64217.88","64605.11","70376.09","66603.72","60457.99","73386.5"
"Mean (BQML) Value","32251.4","31179.94","31631.17","30500.32","33896.38","37235.37","36928.15","34575.29","35822.81","31877.79","33159.49","33088.32","32253.41","32808.98","31829.3","38279.36","36416.87","37954.44","40009.31","33234.68","31887.22","36474.89","34823.82","29908.86","33849.82"
"Standard Deviation (BQML) Value","9550.1","7343.21","8902.92","8146.31","7518.11","10172.53","9021.37","10851.49","9076.88","7259.54","9412.29","10149.06","9933.2","7697.2","9216.12","12524.98","10949.86","12639.12","11506.92","8329.44","7960.15","9292.88","9581.51","7964.62","7182.96"
"Total (BQML) Value","109183884.27","105216088.68","107286615.39","101211029.95","114933116.64","125985133.39","123322303.32","116933614.4","120708549","106632472.99","111715655.56","109712941.91","109821584.75","109601667.1","106666352.78","130002815.87","123400739.48","126634221.63","132666079.13","112809137.96","107664018.58","122590648.4","117648794.54","101991589.86","114685885.97"
"Volume (ml) Value","50.4","50.24","50.49","49.4","50.48","50.37","49.72","50.35","50.16","49.8","50.15","49.36","50.69","49.73","49.89","50.56","50.45","49.67","49.36","50.53","50.26","50.03","50.29","50.77","50.44"
