"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","215445.04","208014.11","158561.18","195353.85","205587.73","185532.62","166409.54","196031.89","169062.03","185859.88","222044.13","189994.58","201553.51","228307.36","194899.85","226560.88","215471.12","228656.09","189584.63","192969.31","214963.1","226464.73","205351.19","221595.33","212392.05"
"Max (BQML) Value","93841.21","104809.92","93423.16","105665.92","113549.05","92746.33","106183.5","96150.41","78015.21","97961.94","98658.68","86814.07","102421.09","110423.67","89959.36","112115.76","109089.91","104053.46","83927.56","108333.45","99634.12","98180.91","99693.84","99116.54","105327.5"
"Mean (BQML) Value","86659.2","82523.8","63519.97","77832.16","81812.45","73691.94","65956.02","76952.12","66739.55","72602.72","87306.06","75589.34","79379.41","90127.45","77394.21","90201.34","84960.31","89112.98","73697.72","76284.87","85099.68","88815.46","81027.09","87663.25","83179.85"
"Standard Deviation (BQML) Value","4414.73","8764.68","7574.3","8082.6","8605.87","10482.09","10813.81","7133.97","3407.63","7795.55","3546.25","4691.77","11108.44","8177.56","6208.3","11819.59","8575.26","6235.46","3922.82","12139.14","8690.81","5088.36","10378.28","6525.14","10217.41"
"Total (BQML) Value","14472086.92","13972929.29","10651028.36","13122501.54","13809942.09","12462780.47","11178225.53","13168047.63","11356401.3","12484763.52","14915367.72","12762503.48","13538951.53","15336087.42","13092004.72","15218770.72","14473838.84","15359512.64","12734965.8","12962324.63","14439713.65","15212312.15","13794052.44","14885219.85","14267008.14"
"Volume (ml) Value","2.49","2.52","2.5","2.51","2.51","2.52","2.52","2.55","2.53","2.56","2.54","2.51","2.54","2.53","2.52","2.51","2.54","2.57","2.57","2.53","2.53","2.55","2.53","2.53","2.55"
