"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","17679031.32","15897340.15","17176021.2","16349405.76","16625860.65","16787753.43","17190713.38","17238106.04","17693711.2","16513497.06","18057442.65","17200009.22","15855802.17","15991340.64","18520549.43","17477818.92","17884852.78","16764881.49","16347344.59","18729067.42","16657991.56","16701679.96","17005442.52","18534162.47","18135852.65"
"Max (BQML) Value","787882.62","711038.88","750866.44","717130.12","777574.31","846452.56","734466.81","811544.88","762111.81","732592.62","806390.69","834035.69","717130.12","714084.5","827944.44","812482","784837","719238.69","732592.62","834972.81","842235.5","785774.06","778745.69","790928.25","772420.12"
"Mean (BQML) Value","666109.75","599150.69","647342.56","615852","627064.5","633335.38","647828.88","648905.88","665883.5","622648.25","679483.88","647640.06","596390.44","601176.31","695194.62","656496.56","672168.88","630093.19","613366.06","702748.5","625799.81","626628.56","618933.69","674912.44","656595.56"
"Standard Deviation (BQML) Value","52309.54","43522.07","44420.21","33473.44","48736.45","63582.5","36816.92","65313.29","41999.6","40092.14","47715.4","67186.05","48096.9","52839.16","34778.15","46368.8","48550.59","43600.14","50765.26","51380.25","59342.81","45981.57","56720.84","54995.61","39296.73"
"Total (BQML) Value","256105876.68","230295549.75","248819060.75","236844362.16","240849203.8","243194450.65","249031897.84","249718447.88","256318535.66","239221457.65","261587702.2","249166561.25","229693813.1","231657280.26","268296461.63","253191029.26","259087492.87","242863118.19","236814503.07","271317140.88","241314665.7","241947554.27","246347986.3","268493665.89","262723582.42"
"Volume (ml) Value","26.54","26.53","26.53","26.55","26.51","26.51","26.54","26.56","26.57","26.52","26.58","26.56","26.59","26.6","26.64","26.62","26.61","26.61","26.65","26.65","26.62","26.65","27.48","27.46","27.62"
