"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","380396.7","283342.6","276846.18","358211.6","318363.54","320483.58","335012.65","306612.68","267180.08","353201.9","353304.41","350993.21","319603.8","385001.93","337218.08","334360.93","371752.9","344401.21","327323.54","311599.48","357423.53","348496.03","313934.1","295603.21","351161.27"
"Max (BQML) Value","795145.25","624823.94","603270.19","768437.38","665822.88","706821.81","776637.19","663714.38","555945.69","797019.5","707758.94","707758.94","697684.94","786945.5","730484.06","624823.94","768437.38","707758.94","679176.81","607252.94","692530.75","669805.62","606315.88","603270.19","684331"
"Mean (BQML) Value","757989.88","560740.44","538323.5","706014.12","624079.56","628235.44","689365.62","624714.5","527313.75","706717","668161.38","679764.06","623977.75","744632.81","642774.06","612350.56","697586.62","652175.25","616612","573565.56","647223.44","648069.31","574940.75","541369.44","649689.62"
"Standard Deviation (BQML) Value","17612.39","27473","36297.44","24079.96","13028.69","35801.48","34943.3","15465.62","9693.14","34046.27","26080.83","18092.16","26847.65","29167.51","32508.46","7980.62","21302.45","25750.97","25670.05","22290.74","26223.62","10590.51","18712.89","19893.64","13475.51"
"Total (BQML) Value","5510586.39","4104620","4010510.07","5189203.82","4611947.97","4642659.88","4853134","4441720.1","3870482.92","5116631.08","5118116.13","5084635.19","4629914.91","5577299.77","4885082.88","4843692.95","5385368.75","4989140.66","4741746.28","4513960.98","5177787.5","5048459.94","4547781.33","4282232.25","5087069.76"
"Volume (ml) Value","0.5","0.51","0.51","0.51","0.51","0.51","0.49","0.49","0.51","0.5","0.53","0.52","0.51","0.52","0.52","0.55","0.53","0.53","0.53","0.54","0.55","0.54","0.55","0.55","0.54"
