"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","2003878.6","1936215.51","2076552.62","1930023.55","1855885.65","2111437.41","2049632.54","2157832.65","2168859.42","2041822.38","1902030.22","1929841.27","2048507.34","1849591.34","2309831.18","2368286.35","1987534.74","1827475.9","1976598","2094244.03","2028031.03","2237348.6","2075262.55","2127639.95","2154649.09"
"Max (BQML) Value","138446.44","154621.19","169366","164513.56","146346.28","156918.47","161302.06","186853.47","160270.62","199511.97","129304.2","150893.97","135234.94","152722.42","166717.08","160786.34","176328.17","114114","144330.3","151104.94","145760.23","155722.95","142079.91","134602.02","160669.14"
"Mean (BQML) Value","75744.19","72961.62","78200.75","72939.42","71169.04","81167.2","78469.78","82568.91","83153.79","78379.84","73112.21","73834.78","78525.16","70653.39","88350.87","90783.21","76102.79","69911.96","75699.55","80326.05","77864.66","85662.31","75469.7","78664.02","79638.06"
"Standard Deviation (BQML) Value","12093.29","15110.43","13847.29","16330.25","13628.66","15354.01","16652.32","20373.62","19482.48","15838.47","9867.9","16125.06","13648.19","15072.77","16329.53","19840.49","16419.36","12156.22","13628.19","13286.43","14661.47","14870.03","17126.02","11378.3","16433.19"
"Total (BQML) Value","134606510.49","130061378.8","139488241.79","129645446.02","124665382.35","141831557.09","137679939.39","144948063.54","145688764.59","137155307.31","127765050.86","129633202.14","137604356.5","124242574.35","155158258.92","159084867.52","133508644.91","122757013.97","132773990.94","140676626.1","136228901.66","150289387.54","139401583.61","142919930.15","144734214.79"
"Volume (ml) Value","26.46","26.54","26.55","26.46","26.08","26.01","26.12","26.13","26.08","26.05","26.02","26.14","26.09","26.18","26.14","26.09","26.12","26.14","26.11","26.07","26.05","26.12","27.5","27.05","27.06"
