"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","11499.9","17461.19","21225.15","14502.25","24086.53","14557.22","20567.34","18902.76","20949.03","12503.96","14396.72","18123.66","13637.85","13277.51","18754.8","12180.82","15146.81","17296.03","16675.61","25263.85","26340.63","18762.66","15226.07","24000.77","21674.32"
"Max (BQML) Value","78833.77","42226.68","104477.62","43170.53","82899.62","42546.13","77265.52","56616.85","50997.28","53175.41","60682.69","44114.39","34094.99","33470.59","54424.2","55992.45","49429.02","68189.98","64748.54","60058.3","57865.64","65387.45","47236.37","65067.99","65692.39"
"Mean (BQML) Value","24445.66","35244.01","42738.51","29062.04","48096.44","29033.61","40923.27","37522.31","41584.19","26479.46","27917.74","35144.92","26385.23","25658.52","36160.04","23512.13","29890.03","35378.38","31894.95","48102.27","51316.09","35643.2","28859.5","45337.55","41645.55"
"Standard Deviation (BQML) Value","6481.57","4273.57","24709.24","3867.65","11856.15","3626.9","10525.03","6395.88","6547.13","5984.13","10776.58","3130.87","2623.52","3814.39","6104.24","8668.88","6373.8","9568.88","6710.5","5032.45","4456.21","9218.65","6391.12","8833.78","8055.06"
"Total (BQML) Value","772482.74","1172920.58","1425756.62","974159.48","1617964.16","977851.9","1381569.58","1269754.92","1407208.91","839928.62","967070.45","1217420.09","916095.2","891890.07","1259815.62","818222.22","1017456.6","1161826.09","1120150.55","1697048.21","1769378.91","1260343.66","1022780.54","1612203.44","1455928.59"
"Volume (ml) Value","0.47","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.47","0.52","0.52","0.52","0.52","0.52","0.52","0.51","0.49","0.52","0.53","0.51","0.53","0.53","0.53","0.52"
