"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","3398534.94","3625780.86","2997551.9","3449581.71","3258129.39","3030333.02","2953617.24","3094225.34","3006728.9","3555502.75","2917577.48","2843350.37","3338103.12","3050250.23","3264771.58","3071796.07","3386187.06","3309536.4","3262500.96","3198380.07","3160561.55","3306236.02","2979075.67","3555578.38","3031616.91"
"Max (BQML) Value","86157.16","96997.42","64153.87","78100.95","86775.84","88013.2","71591.41","88631.87","74684.79","128307.74","70354.06","76244.92","86466.51","86157.16","84919.82","86466.51","102578.95","82122.34","70663.41","74994.12","75612.8","80575.65","67865.91","103197.62","96378.75"
"Mean (BQML) Value","35621.29","39464.78","33460.93","36465.87","34455.45","33419.89","32666.29","34034.45","33353.86","37314.27","32618.94","31320.32","36771.61","33686.66","34681.2","34018.8","37666.72","34868.01","35929.61","35468.85","34785.29","34734.74","32864.09","39629.98","33707.43"
"Standard Deviation (BQML) Value","8957.21","10326.34","7535.11","8605.61","8200.27","7724.45","7056.77","7965.6","7753.18","9233.06","7696.41","7218.26","10226.61","8322.8","8656.83","8799.42","9718.48","8279.23","8722.06","8199.45","8731.03","8225.61","7035.52","10041.97","7789.78"
"Total (BQML) Value","228289742.38","243554529.6","201354513.99","231718706.46","218858281.81","203556519.62","198403291.76","207848357.52","201970960.06","238833738.56","195982393.31","190996336.43","224230356.06","204894418.03","219304457.69","206341716.51","227460298.11","222311444.21","219151933.79","214844741.53","212304359.03","222089748.4","200113410.53","238838819.43","203642762.31"
"Volume (ml) Value","95.41","91.87","89.58","94.6","94.56","90.67","90.42","90.91","90.15","95.29","89.44","90.78","90.78","90.55","94.14","90.3","89.9","94.92","90.8","90.17","90.86","95.19","90.65","89.72","89.94"
