"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","3527405.94","3526574.65","3003202.37","2928087.37","3277419.16","3012029.6","3203511.5","3628373.61","3408600.92","2999009.03","3140271.79","3440683.49","3226443.18","3025651.51","3018729.89","3350124.04","3007562.08","3332417.16","3271269.79","3071997.39","2986266.29","2821654.92","3293758.38","3108898.59","3259783.66"
"Max (BQML) Value","77067.55","91356.66","56872.91","55935.92","72407.24","53137.28","57797.58","71470.25","63086.64","51275.62","59979.78","59351.01","59042.79","64011.31","61212.66","70545.59","67438.73","67118.17","69608.6","67438.73","55627.7","56552.36","63703.09","66501.73","61533.21"
"Mean (BQML) Value","39363.79","36975.09","33323.32","32772.66","34872.02","33597.31","35610.41","39437.02","35725.91","33068.79","34625.52","36386","35589.22","33372.86","33308.98","37290.77","33462.79","35048.38","36076.34","33973.98","32938.44","31036.15","34713.97","34159.15","34175.31"
"Standard Deviation (BQML) Value","7472.95","7018.02","5766.32","6051.27","6644.11","5780.99","6203.48","8213.2","6762.81","5133.69","6805.09","6308.66","6970.66","5779.24","6467.39","7069.45","5718.04","6766.12","7954.99","6723.14","5299.9","5120.19","6499.89","5640.46","5822.04"
"Total (BQML) Value","236946391.88","236890551.63","201734073.09","196688373.75","220154033.7","202327024.03","215189435.33","243728692.25","228965904.12","201452393.67","210941435.03","231120985.93","216729824.56","203242048.51","202777102.72","225037837.5","202026927.76","223848413.28","219740962.2","206355239.45","200596425.7","189538988.03","221251587.56","208834003.52","218969404.23"
"Volume (ml) Value","89.61","95.38","90.12","89.35","93.98","89.65","89.96","92","95.41","90.69","90.69","94.56","90.66","90.66","90.63","89.84","89.88","95.08","90.68","90.42","90.66","90.92","94.88","91.01","95.38"
