"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","1696385.72","1628753.95","1516836.35","1636233.37","1503157.44","1585025.49","1415299.76","1835234.62","1353003.6","1364544.37","1584538.2","1595843.75","1650806.19","1665575.58","1703785.78","1888640.57","1604900.8","1812667.72","1423982.27","1655485.92","1776839.05","1693637.9","1586915.54","1752378.34","1855767.53"
"Max (BQML) Value","750866.44","718067.25","746883.69","759066.19","680113.94","731421.19","627869.56","834035.69","660668.75","661605.88","719238.69","694405","702839.06","712913.12","721112.88","786945.5","683159.56","779682.81","618498.38","735638.25","721112.88","704713.31","682222.44","852543.81","818573.25"
"Mean (BQML) Value","685865.38","658153.81","611054.75","655145.5","605207.62","637107.25","566214.5","735638.62","540993.06","545005.88","633221.69","640389.56","654468.31","659782","679002.94","750401.56","640123","720215.75","561775.75","652573.19","684029.69","646842.88","605444.44","661947.56","697908.31"
"Standard Deviation (BQML) Value","18686.47","35826.13","44816.5","32704.45","30233.41","44955.26","20675.57","50037.85","31599.53","29686.45","31006.3","26446.59","23300.54","22923.48","23578.29","26068.62","14028.08","27638.34","24198.15","37062.48","23693.46","26581.6","16854.93","59685.56","50189.21"
"Total (BQML) Value","24574556.39","23594814.18","21973528.81","23703164.19","21775370.35","22961345.29","20502627.05","26585979.91","19600178.65","19767363.09","22954286.17","23118063.21","23914272.14","24128227.74","24681756.78","27359640.97","23249267.36","26259066.25","20628405.54","23982064.64","25740037.14","24534750.25","22988725.29","25385689.02","26883428.2"
"Volume (ml) Value","2.47","2.47","2.48","2.5","2.48","2.49","2.5","2.49","2.5","2.5","2.5","2.49","2.52","2.52","2.51","2.52","2.51","2.52","2.53","2.54","2.6","2.62","2.62","2.65","2.66"
