"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","918131.5","861959.77","993005.81","1011491.93","1009092.71","785975.94","912192.07","805918.54","997771.7","916070.99","1012121.45","950064.09","958067.9","712432.59","1032370.95","930907.37","896191.39","859070.24","924425.06","997151.64","905480.32","847287.76","783228.66","921007.34","903165.29"
"Max (BQML) Value","46531.89","53063.21","57156.57","66125.85","56328.87","47359.59","51437.91","55516.22","53890.91","53890.91","55516.22","54703.57","55516.22","39187.92","78375.84","49797.55","56328.87","49797.55","53890.91","56328.87","53063.21","55516.22","44906.59","47359.59","48984.9"
"Mean (BQML) Value","35085.7","33882.88","38248.11","38944.07","38859.71","30158.31","34487.52","31297.53","38412.29","35681.7","38579.12","36642.84","36386.62","27408.44","39303.7","35629.86","34105.25","32389.44","34876.99","38237.65","35342.14","32864.56","29167.21","34166.97","32907.52"
"Standard Deviation (BQML) Value","6000.21","4812.03","6518.83","7533.46","6414.4","5871.47","6783.16","6411.57","7101.22","7135.96","7394.83","6949.14","6322.29","4204.06","12100.36","5148.56","7108.21","7811.12","8382.34","8107.01","7525.6","4797.25","4206.27","4123.28","4140.89"
"Total (BQML) Value","61673635.22","57900412.11","66703166.01","67944933.78","67783770.98","52796351.61","61274665.7","54135955.62","67023305.26","61535224.47","67987220.41","63818642.39","64356282.09","47856224.8","69347440.01","62531828.4","60199851.98","57706313.95","62096391.97","66981653.52","60823817.29","56914849.34","52611808.04","61866813.66","60668310.21"
"Volume (ml) Value","26.17","25.44","25.96","25.97","25.97","26.06","26.45","25.75","25.98","25.67","26.23","25.93","26.33","25.99","26.27","26.13","26.28","26.52","26.51","26.08","25.62","25.78","26.85","26.96","27.45"
