"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","12454.24","17913.86","16217.43","25053.73","18407.88","21061.89","18281.09","11895.12","15506.11","20238.3","12778.5","17818.67","16667.58","13218.61","17596.41","12429.5","20900.8","24182.21","14710.15","15820.08","22160.56","23423.61","14712.2","26684.45","18300.39"
"Max (BQML) Value","31353.21","47541.96","36624.55","64854.93","43407.34","50677.29","56198.45","38885.48","68864.65","56698.1","40396.93","40134.61","43906.99","31103.39","46792.48","32240.1","58459.38","53812.61","34113.79","44781.38","56323.36","53312.95","36874.38","65354.59","45156.12"
"Mean (BQML) Value","25259.32","36027.78","32615.97","50147.01","36844.82","42056.79","36460.66","25095.19","32428.13","40220.91","25010.78","34754.16","32321.33","25603.62","34004.71","24019.74","40251.41","48518.25","28296.82","32438.4","42337.63","44598.46","27791.41","50181.25","36369.58"
"Standard Deviation (BQML) Value","2306.03","4357.16","2525.9","7332.58","2178.62","2798.98","8784.7","5460.84","10274.5","5975.91","3287.21","1977.24","5140.47","2155.03","6770.03","3120.39","5359.19","2804.28","3579.53","3726.85","6302.16","4434.19","3710.82","7201.66","3736.69"
"Total (BQML) Value","836588.62","1203327.76","1089373.49","1682933.58","1236512.17","1414790.38","1227995.17","799030.71","1041591.63","1359466.76","858370.01","1196933.28","1119610.94","887933.51","1182003.62","834926.31","1403969.32","1624391.14","988124.83","1062682.06","1488591.03","1573433.56","988262.68","1792474.39","1229291.74"
"Volume (ml) Value","0.49","0.5","0.5","0.5","0.5","0.5","0.5","0.47","0.48","0.5","0.51","0.51","0.52","0.52","0.52","0.52","0.52","0.5","0.52","0.49","0.52","0.53","0.53","0.53","0.5"
