"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG- 11","BG- 12","BG- 13","BG- 14","BG- 15","BG- 16","BG- 17","BG- 18","BG- 19","BG- 20","BG- 21","BG- 22","BG- 23","BG- 24","BG- 25"
"Workflow Name","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon","Quantitative Recon"
"Integral Total (BQML*ml) Value","1977710.3","1911140.81","1998029.87","1962346.2","1864932.63","2167957.09","2062038.22","2203678.94","2145135.15","2118900.57","1932138.58","1908776.87","2048947.66","1838180.15","2296571.33","2325413.08","1962185.21","1789585.64","2012925.53","2102462.78","2095985.68","2261524.94","2049859.71","2084347.32","2164632.35"
"Max (BQML) Value","102182.21","113389.8","103058.11","110722.27","96966.59","133455.97","127185.3","109667.21","120397.04","114146.27","92049.59","100908.16","103934.02","102421.09","121452.1","120755.36","114843.01","89083.45","113210.64","103575.7","114026.82","123303.45","110543.11","102182.21","120277.59"
"Mean (BQML) Value","74642.49","72154.36","75157.71","74014.38","71643.58","83104.02","78802.8","84152.55","81900.16","80983.23","73942.89","73058.83","78563.56","70544.84","88038.19","88959.03","75295.25","68426.58","77314.75","80459.36","80162.16","86817.57","74717.4","77175.52","80098.73"
"Standard Deviation (BQML) Value","7879.78","10375.77","8388.63","10251.38","7319.55","11959.23","11632.65","8438.93","14374.5","9059.87","4990.52","8351.35","8961.27","9879.23","8153.99","11688.81","10740.67","5821.85","8695.85","8385.74","10958.11","12710.62","12244.65","7120.72","10922.47"
"Total (BQML) Value","132848707.6","128377036.2","134213633.88","131816655.21","125273094.97","145628152.82","138513265.86","148027696.06","144095134.91","142332879.68","129787519.34","128218243.36","137633933.87","123476050.91","154267555.19","156204942.15","131805841.03","120211812.45","135214219.98","141228704.32","140793618.47","151913384.53","137695199.23","140011834.62","145404820.3"
"Volume (ml) Value","26.5","26.49","26.58","26.51","26.03","26.09","26.17","26.19","26.19","26.16","26.13","26.13","26.08","26.06","26.09","26.14","26.06","26.15","26.04","26.13","26.15","26.05","27.43","27.01","27.02"
