"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG_Sphere 1","BG_Sphere 2","BG_Sphere 3","BG_Sphere 4","BG_Sphere 5","BG_Sphere 6","Sphere- 1","Sphere- 1 (Above 50% CNTS)","Sphere- 2","Sphere- 2 (Above 50% CNTS)","Sphere- 3","Sphere- 3 (Above 50% CNTS)","Sphere- 4","Sphere- 4 (Above 50% CNTS)","Sphere- 5","Sphere- 5 (Above 50% CNTS)","Sphere- 6","Sphere- 6 (Above 50% CNTS)"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","405904.42","370088.44","340981.21","321756.2","300412.32","316640.97","309901.58","323964.19","328991.14","338781.99","2189.87","5238.06","11882.01","32952.53","56494.36","136241.39","4161.92","4161.92","21217.66","21206.35","47070.26","44791.74","154920.2","136729.51","294029.1","272491.03","981721.88","910435.28"
"Max (BQML) Value","12783.59","11784.5","13717.78","10600.55","9135.35","9259.25","10663.48","10350.77","11098.12","11505.23","10008.57","8698.74","10101","11597.67","9758.8","9290.72","17989.46","17989.46","39438.36","39438.36","40903.55","40903.55","59392.56","59392.56","52658.56","52658.56","64443.06","64443.06"
"Mean (BQML) Value","8100.07","7387.01","6801.66","6420.08","5994.63","6321.39","6180.53","6465.13","6568.26","6761.57","8473.5","7518.3","7063.27","7962.3","7116.67","6198.85","15428.74","15428.74","30769.72","30779.9","28301.56","29064.87","37379.5","39533.96","37008.72","38786.31","44384.82","46242.52"
"Standard Deviation (BQML) Value","1278.98","1141.94","1331.7","1099.16","1045.09","985.7","1209.35","1167.48","1091.97","1107.55","621.97","493.49","1061.33","1358.07","935.95","1014.4","1888.5","1888.5","4238.05","4225.7","5749.58","5251.26","8412.11","7481.46","8070.13","6755.95","9641.59","8510.95"
"Total (BQML) Value","27265811.97","24859945.54","22904726.61","21613324.7","20179592.82","21269719.32","20817014.85","21761641.98","22099317.22","22756998.36","147100.03","351856.23","798149.95","2213519.62","3794895.15","9151740.82","279568.84","279568.84","1425253.37","1424493.97","3161849.91","3008795.25","10406452.8","9184529.8","19750813.02","18304036.6","65945190.63","61156656.93"
"Volume (ml) Value","50.11","50.1","50.13","50.12","50.11","50.09","50.14","50.11","50.09","50.1","0.26","0.7","1.68","4.14","7.94","21.98","0.27","0.27","0.69","0.69","1.66","1.54","4.14","3.46","7.94","7.03","22.12","19.69"
