"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG_Sphere 1","BG_Sphere 2","BG_Sphere 3","BG_Sphere 4","BG_Sphere 5","BG_Sphere 6","Sphere- 1","Sphere- 1 (Above 50% CNTS)","Sphere- 2","Sphere- 2 (Above 50% CNTS)","Sphere- 3","Sphere- 3 (Above 50% CNTS)","Sphere- 4","Sphere- 4 (Above 50% CNTS)","Sphere- 5","Sphere- 5 (Above 50% CNTS)","Sphere- 6","Sphere- 6 (Above 50% CNTS)"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","314125.55","311815.58","293842.51","393893.1","331609.23","315010.78","325149.59","318951.41","365351.8","321616.67","1719.17","7255.86","11416.17","28345.86","64012.07","136762.25","3173.58","3173.58","24317.53","23582.91","49032","46777.87","152197","129957.96","329639.28","304474.74","958438.92","885162.4"
"Max (BQML) Value","12869.78","8926","9111.16","12961.41","10485.57","10546.65","12045.13","10760.45","12839.24","10271.77","10943.7","13177.11","9477.67","9141.7","11617.54","10119.06","19199.68","19199.68","41547.12","41547.12","41852.55","41852.55","59828.62","59828.62","51358.85","51358.85","62548.8","62548.8"
"Mean (BQML) Value","6275.73","6222.54","5871.9","7870.01","6613.85","6288.03","6488.79","6362.9","7292.55","6414.32","8910.63","9329.98","6800.8","6992.05","6967.66","6236.58","16865.42","16865.42","31078.41","31632.08","29608.29","30447.77","37569.92","40808.08","35755.8","37469.73","43608.07","45716.59"
"Standard Deviation (BQML) Value","1150.75","803.8","1039.9","1418.26","1039.62","1132.72","1184.52","1251.51","1328.74","1094.59","1047.24","1879.91","1288.84","980.36","1228.36","1449.86","1831.73","1831.73","5386.82","4891.89","5747.47","5066.02","9233.91","7568.92","7870.04","6700.32","9579.95","8122.9"
"Total (BQML) Value","21100751.55","20945584.01","19738279.01","26458976.12","22275182.57","21160214.81","21841268.92","21424918.48","24541771.92","21603952.18","115481.81","487398.03","766858.52","1904076.2","4299882.13","9186729.04","213178.88","213178.88","1633481.24","1584134.57","3293626.08","3142209.41","10223527.14","8729664.07","22142854.73","20452477.68","64381204.92","59459001.83"
"Volume (ml) Value","50.05","50.11","50.04","50.05","50.14","50.1","50.11","50.13","50.1","50.14","0.19","0.78","1.68","4.05","9.19","21.93","0.19","0.19","0.78","0.75","1.66","1.54","4.05","3.18","9.22","8.13","21.98","19.36"
