"Statistic  ","BG- 1","BG- 2","BG- 3","BG- 4","BG- 5","BG- 6","BG- 7","BG- 8","BG- 9","BG- 10","BG_Sphere 1","BG_Sphere 2","BG_Sphere 3","BG_Sphere 4","BG_Sphere 5","BG_Sphere 6","Sphere- 1","Sphere- 1 (Above 50% CNTS)","Sphere- 2","Sphere- 2 (Above 50% CNTS)","Sphere- 3","Sphere- 3 (Above 50% CNTS)","Sphere- 4","Sphere- 4 (Above 50% CNTS)","Sphere- 5","Sphere- 5 (Above 50% CNTS)","Sphere- 6","Sphere- 6 (Above 50% CNTS)"
"Series Date","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29","2025-10-29"
"Integral Total (BQML*ml) Value","400220.64","371398.31","349749.32","324827.15","292478.62","305138.9","297376.32","319595.41","344226.9","351046.77","2293.97","5380.5","13246.54","28664.2","54575.21","136688.42","2136.27","2136.27","10196.4","10196.4","24896.05","24896.05","83741.26","83741.26","212777.26","212579.84","765289.02","672566.61"
"Max (BQML) Value","8916.17","8377.39","9215.13","7569.22","6642.78","6851.39","6851.39","7299.83","7928.95","7809.04","8646.78","8796.26","8048.86","7988.09","8526.87","7150.35","8705.91","8705.91","15976.17","15976.17","16575.73","16575.73","25521.47","25521.47","35513.56","35513.56","53823.9","53823.9"
"Mean (BQML) Value","7991.49","7412.01","6980.29","6483.36","5837.91","6093.87","5933.62","6380.68","6876.86","7010.77","8284.57","7898.26","7530.55","7103.97","6775.8","6177.19","8421.35","8421.35","14735.86","14735.86","14249.67","14249.67","20708.11","20708.11","26347.3","26359.79","34595.91","36548.48"
"Standard Deviation (BQML) Value","442.85","302.79","657.62","408.13","302.49","306.27","313.6","373.73","439.39","346.13","221.21","302.45","165.03","400.06","732.05","258.5","232.98","232.98","709.55","709.55","1168.45","1168.45","2199.16","2199.16","3956.49","3945.19","7666.43","6893.66"
"Total (BQML) Value","26884015.75","24947933.79","23493706.72","21819609.74","19646662.75","20497091.2","19975655.73","21468178.01","23122748.68","23580860.25","154093.08","361424.52","889809.71","1925459.82","3665979.78","9181769.32","143499.8","143499.8","684922.88","684922.88","1672341.72","1672341.72","5625150.83","5625150.83","14292883.73","14279622.81","51406749.02","45178307.68"
"Volume (ml) Value","50.08","50.11","50.11","50.1","50.1","50.07","50.12","50.09","50.06","50.07","0.28","0.68","1.76","4.03","8.05","22.13","0.25","0.25","0.69","0.69","1.75","1.75","4.04","4.04","8.08","8.06","22.12","18.4"
